gene logFC FDR add_variable
vnz_11740 3.04900893981987 3.57863146002363e-06 MMC
vnz_04740 3.04540369775479 1.0588603736642e-07 MMC
vnz_20970 3.02297184530629 2.13331709146388e-05 MMC
vnz_27155 3.01502530859392 2.03722408407455e-08 MMC
vnz_12375 3.0131813286517 3.1386929352579e-06 MMC
vnz_14705 3.00921026335934 6.00460831975971e-06 MMC
vnz_21690 2.9922725058267 1.95159919560529e-06 MMC
vnz_23320 2.99079648091074 4.67206085075278e-10 MMC
vnz_19445 2.99043249035297 7.95939286027151e-06 MMC
vnz_15165 2.97795664127706 2.1168559746642e-08 MMC
vnz_21700 2.97265686584006 3.41019994734704e-06 MMC
vnz_33985 2.96362316812582 2.20957624139338e-06 MMC
vnz_14355 2.94989583923792 1.11156237561301e-05 MMC
vnz_20195 2.94978826254855 2.97399733430297e-08 MMC
vnz_07415 2.94977797147709 1.84829691276161e-05 MMC
vnz_06485 2.94210141492246 0.00018336294700996 MMC
vnz_32585 2.9302422813915 1.67445630100874e-06 MMC
vnz_08925 2.92981250381426 5.27638000147162e-08 MMC
vnz_13270 2.92618965531749 5.00811041131666e-11 MMC
vnz_19440 2.92449262891283 7.83917016044787e-07 MMC
vnz_04025 2.92083027270994 6.04911185018387e-08 MMC
vnz_23830 2.92059781212944 6.10796614578568e-07 MMC
vnz_24600 2.92040492244329 2.937284999782e-08 MMC
vnz_10060 2.91922330416103 3.37340213258569e-07 MMC
vnz_21685 2.91664302632557 2.21342488559225e-07 MMC
vnz_20595 2.91501839253299 1.8361220274711e-06 MMC
vnz_00465 2.91324666617892 5.84700382129584e-05 MMC
vnz_02950 2.91288508736692 0.000271764586969333 MMC
pvnz_37135 2.90914195916528 4.1536827967318e-09 MMC
vnz_21660 2.89901857925639 3.4750884451275e-06 MMC
vnz_18330 2.89879009198705 3.25079921635278e-05 MMC
vnz_17125 2.88958296056156 5.11881317878052e-10 MMC
vnz_03985 2.87693417202013 1.43610268563105e-08 MMC
vnz_21695 2.87570310508601 5.65567513842766e-06 MMC
vnz_18710 2.87509361317854 7.00939659942967e-07 MMC
vnz_23615 2.86654935871175 1.73348459727192e-06 MMC
vnz_14060 2.85487903331542 4.86433147714286e-09 MMC
vnz_21680 2.85313814384383 1.34710916845919e-07 MMC
vnz_19120 2.85035310875283 2.83486222898403e-05 MMC
vnz_20795 2.80185682565286 1.64559682676858e-05 MMC
vnz_14350 2.80000233731445 4.97993482858587e-10 MMC
vnz_29540 2.79521133077709 4.97649724441254e-05 MMC
vnz_20020 2.79185501310545 2.41712781197021e-08 MMC
vnz_21705 2.78993713954038 2.25245960412807e-06 MMC
vnz_08815 2.78770239618809 1.1198830688237e-09 MMC
vnz_20620 2.78226426737718 1.85756920586803e-09 MMC
vnz_31505 2.78119118631816 0.0001816075249158 MMC
vnz_24110 2.76972530167341 4.15989607698239e-09 MMC
vnz_03335 2.76767868426358 1.86232429027512e-07 MMC
vnz_26085 2.76536509930418 1.89147452216372e-08 MMC
vnz_21395 2.76301176972932 1.13995959589343e-08 MMC
vnz_36610 2.76173495697861 1.60496320359579e-07 MMC
vnz_12880 2.75988044230881 1.05676807853479e-07 MMC
vnz_17150 2.75417686375016 5.48072106893155e-09 MMC
vnz_19380 2.75135842313704 6.88126760661396e-07 MMC
vnz_21375 2.75068020003501 2.59787872557944e-07 MMC
vnz_17835 2.74614561333357 8.93869539820318e-08 MMC
vnz_17155 2.74483793728416 7.341426411822e-09 MMC
vnz_18750 2.7420974991298 1.90976275781792e-08 MMC
vnz_20665 2.73550591442007 4.1194708506771e-05 MMC
vnz_26500 2.73334583237591 0.00231886526011802 MMC
vnz_18975 2.72306676913224 3.49415615851964e-06 MMC
vnz_32610 2.72223376577986 0.000688309982953549 MMC
vnz_14065 2.71451631506439 1.15799632874893e-08 MMC
vnz_14040 2.71171385479707 1.29871407598465e-06 MMC
vnz_24410 2.7101889988996 1.46920290160894e-05 MMC
vnz_15240 2.69691779679624 2.85421826905121e-08 MMC
vnz_16690 2.69329911008797 1.24895335056798e-08 MMC
vnz_16975 2.68953533552526 3.33030969904248e-05 MMC
vnz_15120 2.68601318084949 8.14244404339989e-06 MMC
vnz_21675 2.68060644281994 2.70204967611138e-06 MMC
vnz_29670 2.68057649539679 1.24817444284004e-07 MMC
vnz_12045 2.67950002653086 4.25755170447079e-07 MMC
vnz_18585 2.67537904426172 6.33902294770288e-08 MMC
vnz_18515 2.67519974051371 4.70866344994287e-07 MMC
vnz_04715 2.67038453211214 1.35632786460374e-05 MMC
vnz_17325 2.66539039730364 1.1863589027452e-08 MMC
vnz_06415 2.65291801380453 1.70911102438965e-07 MMC
vnz_29550 2.65206672585953 0.000237875919569428 MMC
vnz_26850 2.64933605257313 6.86496261232282e-10 MMC
vnz_17310 2.64482397699437 3.39631897885731e-08 MMC
vnz_22375 2.63638160087721 3.8813149112922e-07 MMC
vnz_20790 2.63589170550266 0.000289842691624212 MMC
vnz_14590 2.6354833431523 4.74950746143499e-08 MMC
vnz_09360 2.63088043084196 1.89030502705102e-06 MMC
vnz_20650 2.62300540189183 2.7198135153922e-05 MMC
vnz_00470 2.62091124532508 0.000164137117985195 MMC
vnz_26065 2.61912791503177 2.35136389124485e-06 MMC
vnz_26860 2.61620453578878 4.87257333699479e-08 MMC
vnz_08710 2.61056543619176 6.16554577735207e-08 MMC
vnz_21955 2.60645193038292 4.35102479631802e-06 MMC
vnz_12885 2.60574531325729 7.2240350747216e-08 MMC
vnz_29515 2.60278793334624 8.74784175863028e-07 MMC
vnz_28885 2.6019401134498 4.23411192799012e-06 MMC
vnz_27770 2.60083724035036 1.37921119015701e-06 MMC
vnz_21045 2.59957601434301 5.92312115574058e-06 MMC
vnz_24340 2.59350834726445 9.08750592096598e-07 MMC
vnz_03570 2.59000875577327 4.836281383828e-07 MMC
vnz_18115 2.58506498783122 4.6492753819875e-07 MMC
vnz_14080 2.58138298280472 0.00129968522378206 MMC
vnz_16325 2.58091552309662 1.01970110102098e-07 MMC
vnz_19405 2.58051061924462 2.04068723477114e-06 MMC
vnz_31175 2.57745460416408 2.23714460627078e-06 MMC
