gene logFC FDR add_variable
SCO0345 0.057948878 0.792372046 delgbn24h
SCO0346 -0.067961903 0.637385963 delgbn24h
SCO0347 -0.062092266 0.753615961 delgbn24h
SCO0348 -0.042907766 0.831823496 delgbn24h
SCO0349 -0.120511743 0.342912931 delgbn24h
SCO0350 0.08439189 0.589766194 delgbn24h
SCO0351 -0.028257264 0.888813561 delgbn24h
SCO0352 -0.028790414 0.90081576 delgbn24h
SCO0353 -0.027436578 0.897723088 delgbn24h
SCO0354 0.00117408 0.994802123 delgbn24h
SCO0355 0.02234068 1 delgbn24h
SCO0356 0.125617144 0.476276204 delgbn24h
SCO0357 -0.037192572 0.86508736 delgbn24h
SCO0358 -0.033260854 0.894075796 delgbn24h
SCO0359 -0.002476961 0.991270352 delgbn24h
SCO0360 -0.019598618 0.93668782 delgbn24h
SCO0361 0.006742129 0.983021713 delgbn24h
SCO0362 0.071045841 0.605025547 delgbn24h
SCO0363 -0.083429994 1 delgbn24h
SCO0364 -0.073101549 1 delgbn24h
SCO0365 -0.013264314 0.940595386 delgbn24h
SCO0366 0.15565209 0.283137434 delgbn24h
SCO0367 -0.162322335 0.22402412 delgbn24h
SCO0368 0.016288706 0.954258742 delgbn24h
SCO0369 -0.224160447 0.21125593 delgbn24h
SCO0370 0.026913793 0.88337401 delgbn24h
SCO0371 0.049772428 0.705758068 delgbn24h
SCO0372 0.015917556 0.951449297 delgbn24h
SCO0373 0.031562478 0.892134966 delgbn24h
SCO0374 0.368360391 0.001758613 delgbn24h
SCO0375 0.307327951 0.051207872 delgbn24h
SCO0376 0.075269392 0.719944488 delgbn24h
SCO0377 -0.026066923 0.921516203 delgbn24h
SCO0378 0.057799267 0.786880402 delgbn24h
SCO0379 0.061494174 0.752806603 delgbn24h
SCO0380 0.065513999 0.758318142 delgbn24h
SCO0381 -0.779971404 9.62e-11 delgbn24h
SCO0382 -0.67041057 1.16e-09 delgbn24h
SCO0383 -0.648207553 2.79e-08 delgbn24h
SCO0384 -0.690323371 2.55e-09 delgbn24h
SCO0385 -0.580899154 1.33e-06 delgbn24h
SCO0386 -0.61459515 1.17e-07 delgbn24h
SCO0387 -0.671761337 1.32e-08 delgbn24h
SCO0388 -0.727794706 1.63e-07 delgbn24h
SCO0389 -0.571281717 7.09e-05 delgbn24h
SCO0390 -0.502454599 0.002102428 delgbn24h
SCO0391 -0.605930358 1.09e-06 delgbn24h
SCO0392 -0.602535178 1.04e-07 delgbn24h
SCO0393 -0.594365836 1.15e-07 delgbn24h
SCO0394 -0.557651622 1.03e-06 delgbn24h
SCO0395 -0.577813723 9.64e-09 delgbn24h
SCO0396 -0.501151267 1.18e-07 delgbn24h
SCO0397 -0.520357156 0.000208754 delgbn24h
SCO0398 -0.517717815 1.38e-05 delgbn24h
SCO0399 -0.659938814 3.27e-09 delgbn24h
SCO0400 -0.74861871 5.58e-11 delgbn24h
SCO0401 -0.556810159 8.54e-06 delgbn24h
SCO0402 0.03378748 0.869937757 delgbn24h
SCO0403 -0.149418942 0.423981865 delgbn24h
SCO0404 0.063843847 0.758318142 delgbn24h
SCO0405 0.057873306 0.750320954 delgbn24h
SCO0406 -0.010985151 0.966556693 delgbn24h
SCO0407 0.124831902 0.515004992 delgbn24h
SCO0408 0.386173708 0.073115065 delgbn24h
SCO0409 0.019224862 0.948229641 delgbn24h
SCO0410 0.041006194 0.869427132 delgbn24h
