gene	MvsTFC	MvsTpval	MvsLFC	MvsLpval	MvsSFC	MvsSpval	TvsLFC	TvsLpval	TvsSFC	TvsSpval	LvsSFC	LvsSpval
SCO4551	0,88	7,E-01	0,59	6,E-02	0,32	5,E-05	0,67	1,E-01	0,36	2,E-04	0,54	3,E-02
SCO4552	1,06	1,E+00	3,22	2,E-04	5,32	3,E-08	3,04	2,E-04	5,03	8,E-09	1,65	6,E-02
SCO4556	1,20	3,E-01	0,52	2,E-03	0,35	9,E-07	0,44	6,E-05	0,30	3,E-09	0,68	5,E-02
SCO4557	1,29	2,E-01	2,41	6,E-05	2,70	9,E-06	1,88	4,E-03	2,10	7,E-04	1,12	7,E-01
SCO4558	1,68	3,E-02	6,01	5,E-15	7,86	6,E-19	3,57	3,E-09	4,67	5,E-13	1,31	2,E-01
SCO4561	0,73	1,E-01	0,58	1,E-02	1,35	3,E-01	0,80	3,E-01	1,85	9,E-03	2,31	3,E-04
SCO4562	18,95	2,E-07	23,17	2,E-08	114,63	2,E-14	1,22	6,E-01	6,05	2,E-04	4,95	1,E-03
SCO4563	9,08	4,E-11	13,19	2,E-14	83,59	1,E-31	1,45	2,E-01	9,20	1,E-12	6,34	3,E-09
SCO4564	6,81	6,E-08	10,83	1,E-11	78,73	2,E-28	1,59	1,E-01	11,56	8,E-14	7,27	9,E-10
SCO4565	3,88	6,E-04	9,69	1,E-08	70,92	5,E-21	2,50	9,E-03	18,26	2,E-13	7,32	1,E-07
SCO4566	1,55	1,E-01	4,50	3,E-07	29,83	2,E-25	2,90	1,E-04	19,23	3,E-22	6,62	4,E-11
SCO4567	0,97	9,E-01	2,05	2,E-03	8,96	2,E-18	2,11	1,E-03	9,22	1,E-19	4,38	5,E-10
SCO4568	2,58	3,E-02	8,38	3,E-06	75,35	4,E-16	3,25	7,E-03	29,18	4,E-12	8,99	1,E-06
SCO4569	2,24	2,E-03	7,28	1,E-14	65,12	3,E-48	3,26	4,E-07	29,13	4,E-39	8,94	5,E-20
SCO4570	2,10	2,E-02	6,08	5,E-08	56,17	2,E-26	2,90	7,E-04	26,74	4,E-21	9,23	9,E-12
SCO4571	1,77	4,E-02	5,84	4,E-10	48,40	8,E-35	3,30	8,E-06	27,33	7,E-30	8,28	4,E-15
SCO4572	1,85	2,E-01	5,79	3,E-06	60,43	6,E-26	3,12	5,E-04	32,60	1,E-23	10,43	3,E-13
SCO4573	1,51	2,E-01	4,85	3,E-07	40,22	9,E-26	3,21	9,E-05	26,63	4,E-23	8,30	6,E-12
SCO4574	1,71	9,E-02	5,42	9,E-08	43,78	8,E-26	3,17	1,E-04	25,59	3,E-22	8,07	2,E-11
SCO4575	1,31	2,E-01	4,96	3,E-13	37,14	4,E-50	3,78	4,E-10	28,30	5,E-48	7,49	8,E-22
SCO4576	1,92	2,E-03	2,01	8,E-04	7,47	6,E-20	1,04	8,E-01	3,88	3,E-11	3,73	2,E-10
SCO4578	1,42	3,E-01	1,44	3,E-01	2,49	3,E-03	1,01	1,E+00	1,75	5,E-02	1,73	6,E-02
SCO4579	1,84	3,E-03	2,52	6,E-06	2,85	4,E-07	1,37	1,E-01	1,55	3,E-02	1,13	6,E-01
SCO4580	2,16	9,E-05	4,25	1,E-12	2,99	4,E-08	1,97	6,E-04	1,38	9,E-02	0,70	7,E-02
SCO4581	1,03	9,E-01	8,56	6,E-23	9,93	2,E-25	8,33	2,E-23	9,66	1,E-26	1,16	5,E-01
SCO4582	0,75	3,E-01	2,19	1,E-02	1,94	4,E-02	2,91	4,E-04	2,57	2,E-03	0,88	6,E-01
SCO4583	0,76	2,E-01	0,38	1,E-06	0,21	2,E-14	0,50	5,E-04	0,28	1,E-10	0,55	2,E-03
SCO4584	0,80	2,E-01	1,99	6,E-04	3,49	9,E-10	2,50	5,E-06	4,38	2,E-13	1,75	4,E-03
SCO4585	0,79	2,E-01	1,54	3,E-02	2,00	7,E-04	1,95	8,E-04	2,52	3,E-06	1,29	2,E-01
SCO4587	0,38	2,E-04	0,31	7,E-06	0,24	6,E-08	0,81	4,E-01	0,63	7,E-02	0,78	3,E-01
SCO4591	0,66	6,E-02	0,27	1,E-08	0,22	1,E-11	0,41	9,E-05	0,33	4,E-07	0,79	3,E-01
SCO4592	1,03	9,E-01	0,72	3,E-01	2,06	1,E-02	0,70	2,E-01	2,01	1,E-02	2,87	3,E-04
SCO4594	1,23	2,E-01	2,54	1,E-05	6,16	3,E-16	2,07	1,E-03	5,03	1,E-13	2,43	2,E-05
SCO4595	1,32	1,E-01	1,75	3,E-03	2,59	1,E-06	1,32	1,E-01	1,96	6,E-04	1,48	5,E-02
SCO4599	1,21	4,E-01	0,60	2,E-02	0,36	3,E-06	0,49	1,E-03	0,30	2,E-08	0,61	2,E-02
SCO4600	1,06	7,E-01	0,45	2,E-04	0,38	5,E-06	0,43	5,E-05	0,36	7,E-07	0,84	4,E-01
SCO4601	0,75	2,E-01	0,34	2,E-07	0,23	3,E-12	0,46	9,E-05	0,30	4,E-09	0,67	5,E-02
SCO4602	0,81	4,E-01	0,37	3,E-06	0,31	4,E-08	0,45	2,E-04	0,38	4,E-06	0,84	4,E-01
SCO4603	0,93	8,E-01	0,39	2,E-05	0,27	4,E-09	0,42	6,E-05	0,29	1,E-08	0,69	9,E-02
SCO4604	0,89	7,E-01	0,41	5,E-05	0,33	3,E-07	0,46	3,E-04	0,37	2,E-06	0,80	3,E-01
SCO4605	0,89	7,E-01	0,45	5,E-04	0,40	6,E-05	0,50	2,E-03	0,45	3,E-04	0,89	6,E-01
SCO4606	0,84	4,E-01	0,40	9,E-06	0,38	3,E-06	0,48	3,E-04	0,45	8,E-05	0,93	8,E-01
SCO4607	0,82	3,E-01	0,38	1,E-06	0,43	2,E-05	0,46	2,E-04	0,52	1,E-03	1,13	5,E-01
SCO4608	0,79	3,E-01	0,43	7,E-05	0,31	3,E-08	0,55	5,E-03	0,39	8,E-06	0,71	1,E-01
SCO4609	0,73	1,E-01	1,69	7,E-03	1,55	3,E-02	2,31	3,E-05	2,12	2,E-04	0,92	6,E-01
SCO4610	1,52	6,E-02	3,51	9,E-08	3,85	2,E-08	2,31	3,E-04	2,53	8,E-05	1,10	8,E-01
SCO4611	0,97	1,E+00	1,78	4,E-03	3,41	5,E-09	1,83	3,E-03	3,50	1,E-09	1,92	2,E-03
SCO4615	0,99	8,E-01	2,13	4,E-02	4,82	6,E-07	2,14	1,E-02	4,85	3,E-08	2,27	3,E-03
SCO4617	0,76	6,E-01	1,31	5,E-01	3,61	1,E-04	1,71	2,E-01	4,73	2,E-06	2,77	2,E-03
SCO4619	1,65	6,E-01	2,96	5,E-02	6,67	4,E-05	1,79	1,E-01	4,03	2,E-04	2,25	4,E-02
SCO4620	0,81	4,E-01	2,30	3,E-03	4,88	1,E-09	2,83	7,E-05	5,99	5,E-13	2,12	1,E-03
SCO4621	1,15	9,E-01	4,39	1,E-02	10,93	6,E-06	3,81	2,E-02	9,50	4,E-06	2,49	3,E-02
SCO4625	0,90	8,E-01	1,07	9,E-01	1,88	5,E-02	1,19	7,E-01	2,09	1,E-02	1,77	7,E-02
SCO4630	0,75	2,E-01	1,07	7,E-01	1,59	3,E-02	1,43	7,E-02	2,11	3,E-04	1,48	7,E-02
SCO4631	1,22	3,E-01	1,98	5,E-04	3,61	3,E-10	1,63	1,E-02	2,96	4,E-08	1,82	3,E-03
SCO4632	1,32	2,E-01	3,32	3,E-09	8,67	2,E-23	2,51	2,E-06	6,55	9,E-20	2,61	2,E-06
SCO4634	0,93	9,E-01	5,19	1,E-12	3,19	4,E-07	5,57	8,E-14	3,42	4,E-08	0,61	2,E-02
SCO4635	0,47	3,E-02	0,62	1,E-01	0,48	4,E-02	1,32	5,E-01	1,03	9,E-01	0,78	5,E-01
SCO4638	0,64	1,E-01	0,68	1,E-01	0,27	2,E-05	1,06	9,E-01	0,42	5,E-03	0,40	4,E-03
SCO4639	0,57	6,E-03	0,70	6,E-02	0,33	3,E-07	1,23	4,E-01	0,58	1,E-02	0,47	9,E-04
SCO4640	0,41	4,E-03	1,43	4,E-01	0,26	2,E-05	3,47	2,E-04	0,62	2,E-01	0,18	5,E-07
SCO4641	0,70	6,E-01	6,25	3,E-02	0,34	2,E-01	8,90	8,E-03	0,49	4,E-01	0,06	7,E-04
SCO4642	1,57	6,E-01	10,50	1,E-02	0,35	3,E-01	6,67	3,E-02	0,22	1,E-01	0,03	4,E-04
SCO4644	1,05	7,E-01	2,13	2,E-04	2,25	1,E-04	2,03	7,E-04	2,14	3,E-04	1,05	9,E-01
SCO4647	0,59	5,E-03	0,68	3,E-02	0,48	1,E-04	1,14	5,E-01	0,81	3,E-01	0,71	8,E-02
SCO4651	0,92	6,E-01	1,12	7,E-01	2,77	7,E-07	1,21	4,E-01	2,99	3,E-08	2,48	3,E-06
SCO4652	0,71	9,E-02	0,67	4,E-02	0,24	3,E-11	0,95	7,E-01	0,34	4,E-07	0,35	2,E-06
SCO4653	0,69	2,E-01	0,66	1,E-01	0,29	5,E-05	0,97	8,E-01	0,42	4,E-03	0,43	8,E-03
SCO4654	0,49	2,E-04	0,71	6,E-02	0,60	6,E-03	1,44	6,E-02	1,21	3,E-01	0,84	4,E-01
SCO4656	0,82	3,E-01	0,49	3,E-03	0,50	4,E-03	0,60	4,E-02	0,61	5,E-02	1,00	9,E-01
SCO4657	0,90	7,E-01	0,39	2,E-04	0,26	2,E-07	0,43	1,E-03	0,29	9,E-07	0,66	9,E-02
SCO4658	0,87	5,E-01	0,49	5,E-04	0,29	1,E-09	0,57	5,E-03	0,33	4,E-08	0,58	7,E-03
SCO4659	0,59	5,E-03	0,71	5,E-02	0,31	1,E-09	1,20	4,E-01	0,52	8,E-04	0,43	2,E-05
SCO4660	0,60	7,E-03	0,75	1,E-01	0,34	4,E-08	1,25	3,E-01	0,58	4,E-03	0,46	9,E-05
SCO4661	0,64	2,E-02	0,77	1,E-01	0,29	4,E-10	1,20	4,E-01	0,45	5,E-05	0,38	8,E-07
SCO4663	0,64	8,E-02	0,42	6,E-04	0,17	2,E-10	0,65	8,E-02	0,26	1,E-06	0,40	3,E-03
SCO4664	0,58	9,E-02	0,43	8,E-03	0,17	4,E-07	0,74	3,E-01	0,29	4,E-04	0,39	2,E-02
SCO4669	1,02	7,E-01	1,98	6,E-03	3,59	4,E-08	1,95	2,E-03	3,53	3,E-09	1,81	4,E-03
SCO4671	0,95	8,E-01	1,83	6,E-03	0,87	5,E-01	1,92	3,E-03	0,92	7,E-01	0,48	6,E-04
SCO4672	1,13	6,E-01	2,36	4,E-05	1,52	4,E-02	2,10	3,E-04	1,35	1,E-01	0,64	3,E-02
SCO4673	0,83	4,E-01	4,79	4,E-14	3,67	3,E-10	5,77	2,E-17	4,42	2,E-13	0,77	2,E-01
SCO4674	1,49	1,E-01	6,92	4,E-15	5,53	4,E-12	4,63	3,E-11	3,70	9,E-09	0,80	3,E-01
SCO4675	1,42	6,E-02	20,18	2,E-40	26,09	2,E-45	14,20	3,E-34	18,35	4,E-40	1,29	2,E-01
SCO4676	2,29	2,E-03	75,69	2,E-60	197,81	5,E-81	33,07	2,E-50	86,43	8,E-73	2,61	2,E-06
SCO4677	7,80	3,E-15	312,10	3,E-89	697,27	2,E-107	40,00	4,E-56	89,37	6,E-76	2,23	3,E-05
SCO4678	2,05	1,E-02	12,17	1,E-16	15,65	5,E-19	5,95	3,E-10	7,65	1,E-12	1,29	4,E-01
SCO4679	1,81	2,E-02	4,00	1,E-07	6,74	2,E-12	2,21	1,E-03	3,72	2,E-07	1,68	4,E-02
SCO4681	1,02	1,E+00	1,59	9,E-02	2,04	5,E-03	1,55	9,E-02	1,99	4,E-03	1,28	3,E-01
SCO4683	0,58	8,E-02	0,88	6,E-01	0,21	6,E-06	1,51	3,E-01	0,36	3,E-03	0,24	6,E-05
SCO4684	0,09	8,E-06	0,08	8,E-06	0,07	2,E-06	0,99	1,E+00	0,84	8,E-01	0,85	8,E-01
SCO4685	0,22	3,E-05	0,09	2,E-09	0,04	1,E-14	0,43	3,E-02	0,18	1,E-05	0,42	3,E-02
SCO4686	0,63	1,E-01	0,43	4,E-03	0,25	2,E-06	0,67	2,E-01	0,40	1,E-03	0,59	6,E-02
SCO4689	2,40	8,E-03	1,23	6,E-01	5,56	1,E-07	0,51	5,E-02	2,32	3,E-03	4,52	3,E-06
SCO4690	1,13	6,E-01	0,54	1,E-01	1,55	1,E-01	0,48	3,E-02	1,37	3,E-01	2,87	2,E-03
SCO4694	0,52	6,E-02	0,74	4,E-01	0,21	3,E-05	1,43	3,E-01	0,41	2,E-02	0,29	7,E-04
SCO4701	0,53	4,E-03	0,65	3,E-02	0,33	7,E-07	1,21	4,E-01	0,62	3,E-02	0,51	3,E-03
SCO4702	0,55	3,E-03	0,66	3,E-02	0,33	6,E-08	1,21	4,E-01	0,60	1,E-02	0,49	8,E-04
SCO4703	0,56	7,E-03	0,69	7,E-02	0,32	4,E-07	1,24	4,E-01	0,58	1,E-02	0,47	9,E-04
SCO4704	0,59	7,E-03	0,68	3,E-02	0,34	4,E-08	1,15	5,E-01	0,57	4,E-03	0,50	5,E-04
SCO4705	0,62	1,E-02	0,77	1,E-01	0,36	1,E-07	1,23	3,E-01	0,58	4,E-03	0,47	1,E-04
SCO4706	0,66	3,E-02	0,79	2,E-01	0,44	2,E-05	1,19	4,E-01	0,67	4,E-02	0,56	3,E-03
SCO4707	0,65	2,E-02	0,73	8,E-02	0,41	5,E-06	1,12	6,E-01	0,64	2,E-02	0,57	4,E-03
SCO4708	0,66	3,E-02	0,69	4,E-02	0,35	1,E-07	1,04	9,E-01	0,53	1,E-03	0,51	7,E-04
SCO4709	0,68	5,E-02	0,76	1,E-01	0,39	1,E-06	1,11	7,E-01	0,57	3,E-03	0,51	7,E-04
SCO4710	0,68	4,E-02	0,83	3,E-01	0,41	4,E-06	1,22	3,E-01	0,60	8,E-03	0,49	3,E-04
SCO4711	0,71	8,E-02	0,87	5,E-01	0,42	8,E-06	1,23	3,E-01	0,59	6,E-03	0,48	2,E-04
SCO4712	0,67	3,E-02	0,86	4,E-01	0,40	2,E-06	1,29	2,E-01	0,59	7,E-03	0,46	8,E-05
SCO4713	0,65	3,E-02	0,78	2,E-01	0,35	1,E-07	1,19	4,E-01	0,54	2,E-03	0,46	7,E-05
SCO4714	0,69	5,E-02	0,85	4,E-01	0,39	2,E-06	1,23	3,E-01	0,57	4,E-03	0,46	8,E-05
SCO4715	0,71	8,E-02	0,85	4,E-01	0,41	4,E-06	1,20	4,E-01	0,57	4,E-03	0,48	2,E-04
SCO4716	0,65	2,E-02	0,80	2,E-01	0,41	5,E-06	1,23	3,E-01	0,64	2,E-02	0,52	8,E-04
SCO4717	0,64	2,E-02	0,76	1,E-01	0,38	8,E-07	1,17	4,E-01	0,59	7,E-03	0,50	5,E-04
SCO4718	0,64	2,E-02	0,74	1,E-01	0,39	1,E-06	1,16	5,E-01	0,61	1,E-02	0,52	1,E-03
SCO4719	0,67	4,E-02	0,75	1,E-01	0,35	8,E-08	1,13	6,E-01	0,52	8,E-04	0,46	1,E-04
SCO4720	0,68	5,E-02	0,74	9,E-02	0,35	1,E-07	1,09	8,E-01	0,52	7,E-04	0,48	2,E-04
SCO4721	0,71	8,E-02	0,80	2,E-01	0,32	1,E-08	1,12	6,E-01	0,45	5,E-05	0,41	5,E-06
SCO4723	0,69	5,E-02	0,71	8,E-02	0,40	3,E-06	1,04	8,E-01	0,58	6,E-03	0,56	3,E-03
SCO4724	0,57	3,E-03	0,53	8,E-04	0,32	8,E-09	0,93	7,E-01	0,57	4,E-03	0,61	1,E-02
SCO4725	0,66	2,E-02	0,57	2,E-03	0,29	2,E-10	0,87	4,E-01	0,44	2,E-05	0,51	5,E-04
SCO4726	0,65	3,E-02	0,65	2,E-02	0,40	1,E-05	1,00	9,E-01	0,62	2,E-02	0,62	3,E-02
SCO4727	0,61	2,E-02	0,66	3,E-02	0,37	2,E-06	1,08	8,E-01	0,61	2,E-02	0,56	7,E-03
SCO4728	0,62	3,E-02	0,66	4,E-02	0,37	5,E-06	1,07	9,E-01	0,60	2,E-02	0,56	1,E-02
SCO4729	0,62	1,E-02	0,70	5,E-02	0,39	9,E-07	1,12	6,E-01	0,62	1,E-02	0,55	3,E-03
SCO4730	0,64	5,E-02	0,69	8,E-02	0,26	1,E-08	1,07	9,E-01	0,41	1,E-04	0,38	5,E-05
SCO4731	0,55	2,E-03	0,45	6,E-05	0,23	4,E-12	0,82	3,E-01	0,42	4,E-05	0,52	2,E-03
SCO4733	0,61	8,E-02	0,62	9,E-02	0,46	6,E-03	1,02	1,E+00	0,76	3,E-01	0,74	3,E-01
SCO4734	0,50	3,E-03	0,72	1,E-01	0,42	2,E-04	1,44	2,E-01	0,83	4,E-01	0,58	3,E-02
SCO4735	0,51	1,E-02	0,77	2,E-01	0,47	5,E-03	1,51	2,E-01	0,92	8,E-01	0,61	9,E-02
SCO4736	0,49	4,E-03	0,60	3,E-02	0,25	1,E-07	1,23	4,E-01	0,52	1,E-02	0,43	1,E-03
SCO4737	0,82	3,E-01	0,58	8,E-03	0,41	1,E-05	0,72	1,E-01	0,50	9,E-04	0,69	9,E-02
SCO4739	0,83	3,E-01	0,31	3,E-09	0,32	1,E-08	0,37	5,E-07	0,39	2,E-06	1,05	8,E-01
SCO4740	0,65	3,E-02	0,32	1,E-08	0,38	1,E-06	0,49	4,E-04	0,58	6,E-03	1,17	4,E-01
SCO4743	0,90	7,E-01	0,58	5,E-02	0,30	4,E-05	0,64	1,E-01	0,34	2,E-04	0,52	3,E-02
SCO4744	1,14	7,E-01	0,67	8,E-02	0,50	4,E-03	0,59	3,E-02	0,44	7,E-04	0,75	3,E-01
SCO4745	0,68	6,E-02	0,42	1,E-05	0,33	3,E-08	0,62	1,E-02	0,48	2,E-04	0,77	2,E-01
SCO4746	0,68	8,E-02	0,47	3,E-04	0,36	2,E-06	0,69	7,E-02	0,54	2,E-03	0,77	2,E-01
SCO4747	0,71	1,E-01	0,55	4,E-03	0,46	2,E-04	0,77	2,E-01	0,64	3,E-02	0,84	4,E-01
SCO4748	0,86	4,E-01	0,43	1,E-04	1,56	4,E-02	0,50	2,E-03	1,82	5,E-03	3,62	5,E-09
SCO4749	1,61	1,E-01	6,07	2,E-10	4,70	5,E-08	3,77	3,E-07	2,92	3,E-05	0,78	3,E-01
SCO4750	0,75	2,E-01	0,55	5,E-03	0,49	7,E-04	0,74	1,E-01	0,65	3,E-02	0,89	6,E-01
SCO4752	0,93	8,E-01	0,59	1,E-02	0,49	7,E-04	0,64	3,E-02	0,53	1,E-03	0,84	3,E-01
SCO4753	0,77	3,E-01	0,46	4,E-04	0,30	5,E-08	0,60	2,E-02	0,39	8,E-06	0,65	5,E-02
SCO4754	0,65	4,E-02	0,45	2,E-04	0,28	3,E-09	0,70	9,E-02	0,44	6,E-05	0,63	2,E-02
SCO4755	0,61	2,E-02	0,35	3,E-06	0,25	3,E-09	0,57	1,E-02	0,41	1,E-04	0,73	2,E-01
SCO4758	0,71	9,E-02	0,53	3,E-03	0,40	2,E-05	0,75	2,E-01	0,57	8,E-03	0,75	2,E-01
SCO4761	0,87	6,E-01	1,30	1,E-01	0,53	2,E-03	1,49	4,E-02	0,60	8,E-03	0,40	3,E-06
SCO4762	0,85	5,E-01	1,32	1,E-01	0,49	4,E-04	1,56	3,E-02	0,58	4,E-03	0,37	4,E-07
SCO4763	0,85	4,E-01	4,22	6,E-12	1,78	4,E-03	4,98	2,E-14	2,10	2,E-04	0,42	2,E-05
SCO4767	0,88	6,E-01	2,07	3,E-02	2,82	2,E-03	2,37	6,E-03	3,22	1,E-04	1,36	3,E-01
SCO4768	3,40	1,E-08	53,39	2,E-59	71,26	6,E-66	15,70	2,E-36	20,96	1,E-43	1,33	1,E-01
SCO4769	1,01	1,E+00	4,90	3,E-14	5,74	8,E-17	4,83	2,E-14	5,66	2,E-17	1,17	4,E-01
SCO4771	0,70	8,E-02	0,66	4,E-02	0,45	7,E-05	0,95	8,E-01	0,64	2,E-02	0,67	5,E-02
SCO4772	2,21	5,E-04	70,19	2,E-60	52,19	5,E-54	31,70	4,E-48	23,57	2,E-42	0,74	1,E-01
SCO4773	0,85	6,E-01	4,12	2,E-07	4,28	8,E-08	4,86	2,E-09	5,05	5,E-10	1,04	9,E-01
SCO4774	1,45	6,E-02	3,03	5,E-08	6,63	1,E-18	2,10	2,E-04	4,58	2,E-13	2,18	1,E-04
SCO4775	0,83	5,E-01	0,49	6,E-04	0,27	2,E-10	0,59	7,E-03	0,32	8,E-09	0,54	2,E-03
SCO4777	0,95	8,E-01	0,42	1,E-05	0,44	3,E-05	0,44	4,E-05	0,46	8,E-05	1,05	8,E-01
SCO4779	1,46	6,E-02	1,12	6,E-01	2,07	3,E-04	0,77	2,E-01	1,42	8,E-02	1,85	2,E-03
SCO4781	0,92	7,E-01	0,41	5,E-04	0,67	8,E-02	0,45	2,E-03	0,74	2,E-01	1,64	7,E-02
SCO4782	1,12	4,E-01	0,40	8,E-06	0,33	8,E-08	0,36	2,E-07	0,29	8,E-10	0,82	3,E-01
SCO4783	1,24	3,E-01	0,34	5,E-04	0,27	3,E-05	0,27	7,E-06	0,22	2,E-07	0,79	6,E-01
SCO4784	1,03	9,E-01	0,37	7,E-04	0,96	9,E-01	0,36	4,E-04	0,93	8,E-01	2,60	9,E-04
SCO4785	0,61	2,E-02	0,55	3,E-03	0,36	5,E-07	0,90	6,E-01	0,59	6,E-03	0,65	3,E-02
SCO4786	0,61	5,E-02	0,32	2,E-05	0,22	2,E-08	0,53	1,E-02	0,36	1,E-04	0,69	2,E-01
SCO4787	0,81	4,E-01	0,38	3,E-04	0,28	3,E-06	0,46	5,E-03	0,34	7,E-05	0,74	3,E-01
SCO4789	1,42	6,E-02	1,17	3,E-01	8,09	1,E-21	0,82	4,E-01	5,70	1,E-16	6,92	6,E-19
SCO4793	0,89	6,E-01	27,34	9,E-44	87,31	9,E-69	30,86	1,E-48	98,56	2,E-76	3,19	3,E-09
SCO4794	1,25	3,E-01	0,75	2,E-01	0,48	8,E-04	0,60	2,E-02	0,39	6,E-06	0,64	3,E-02
SCO4798	1,36	1,E-01	1,79	2,E-03	2,55	2,E-06	1,32	1,E-01	1,88	1,E-03	1,43	8,E-02
SCO4799	1,65	1,E-01	1,68	8,E-02	67,95	7,E-53	1,02	9,E-01	41,19	2,E-50	40,48	3,E-47
SCO4800	1,17	6,E-01	5,04	3,E-14	3,34	1,E-08	4,30	7,E-13	2,85	1,E-07	0,66	3,E-02
SCO4801	0,83	6,E-01	0,71	3,E-01	3,06	3,E-05	0,85	6,E-01	3,68	1,E-06	4,31	1,E-07
SCO4802	0,61	5,E-02	0,38	4,E-05	2,33	4,E-05	0,62	4,E-02	3,79	6,E-10	6,13	1,E-15
SCO4803	0,84	5,E-01	0,74	3,E-01	12,07	2,E-19	0,88	7,E-01	14,32	1,E-22	16,25	1,E-23
SCO4804	0,61	1,E-01	0,41	7,E-03	4,84	8,E-07	0,68	2,E-01	8,00	2,E-10	11,70	2,E-13
SCO4805	0,55	1,E-02	0,37	7,E-05	2,94	2,E-05	0,68	1,E-01	5,38	2,E-11	7,90	2,E-15
SCO4806	0,60	6,E-02	0,28	9,E-06	0,46	5,E-03	0,46	8,E-03	0,76	3,E-01	1,67	8,E-02
SCO4807	0,67	3,E-01	0,37	7,E-03	0,07	1,E-09	0,54	8,E-02	0,11	1,E-07	0,20	2,E-04
SCO4810	0,56	3,E-02	0,38	4,E-04	0,41	1,E-03	0,67	1,E-01	0,74	3,E-01	1,10	7,E-01
SCO4812	1,08	7,E-01	0,95	9,E-01	0,52	1,E-03	0,88	5,E-01	0,48	2,E-04	0,55	2,E-03
SCO4813	0,47	8,E-03	0,34	2,E-04	0,27	7,E-06	0,71	2,E-01	0,56	5,E-02	0,79	5,E-01
SCO4814	0,59	2,E-02	0,39	5,E-05	0,30	4,E-07	0,66	8,E-02	0,50	4,E-03	0,76	3,E-01
SCO4815	0,50	5,E-03	0,41	7,E-04	0,29	3,E-06	0,82	5,E-01	0,58	5,E-02	0,71	2,E-01
SCO4817	1,78	1,E-02	2,27	4,E-04	3,14	1,E-06	1,27	3,E-01	1,76	1,E-02	1,38	2,E-01
SCO4818	1,46	1,E-01	1,98	5,E-03	2,86	1,E-05	1,35	2,E-01	1,96	3,E-03	1,45	1,E-01
SCO4819	0,82	4,E-01	1,06	1,E+00	3,12	4,E-06	1,29	4,E-01	3,79	2,E-08	2,94	5,E-06
SCO4820	1,23	3,E-01	1,76	6,E-03	3,07	9,E-08	1,42	9,E-02	2,49	1,E-05	1,75	6,E-03
SCO4822	1,27	3,E-01	0,71	6,E-02	0,36	2,E-07	0,56	3,E-03	0,28	2,E-10	0,51	6,E-04
SCO4823	0,72	2,E-01	0,26	1,E-08	0,08	3,E-23	0,37	1,E-05	0,11	8,E-19	0,30	3,E-06
SCO4824	0,78	2,E-01	0,54	2,E-03	0,27	2,E-10	0,68	5,E-02	0,35	9,E-08	0,51	7,E-04
SCO4825	0,77	4,E-01	0,46	2,E-03	0,24	4,E-08	0,60	3,E-02	0,31	3,E-06	0,51	1,E-02
SCO4828	0,42	2,E-03	0,43	3,E-03	0,09	4,E-15	1,02	9,E-01	0,21	1,E-07	0,20	1,E-07
SCO4829	0,37	3,E-05	0,43	3,E-04	0,12	2,E-17	1,14	6,E-01	0,31	1,E-06	0,27	1,E-07
SCO4830	0,41	5,E-05	0,38	1,E-05	0,08	2,E-24	0,93	7,E-01	0,20	9,E-12	0,22	1,E-10
SCO4831	0,43	6,E-05	0,34	3,E-07	0,06	3,E-32	0,79	3,E-01	0,15	6,E-18	0,18	2,E-14
SCO4832	0,42	1,E-05	0,36	5,E-07	0,07	2,E-33	0,88	5,E-01	0,16	2,E-17	0,18	3,E-15
SCO4833	0,79	2,E-01	0,63	2,E-02	0,35	2,E-07	0,79	2,E-01	0,44	5,E-05	0,56	5,E-03
SCO4834	1,30	3,E-01	1,00	1,E+00	0,50	3,E-03	0,76	2,E-01	0,38	3,E-05	0,50	3,E-03
SCO4835	1,46	1,E-01	1,23	4,E-01	0,52	3,E-03	0,84	4,E-01	0,35	3,E-06	0,42	1,E-04
SCO4837	1,29	2,E-01	1,71	7,E-03	4,29	2,E-12	1,33	1,E-01	3,33	2,E-09	2,50	4,E-06
SCO4846	1,55	2,E-01	1,07	7,E-01	0,31	8,E-04	0,69	3,E-01	0,20	2,E-06	0,29	2,E-04
SCO4848	0,85	5,E-01	0,42	1,E-04	0,19	6,E-13	0,49	1,E-03	0,23	4,E-11	0,46	5,E-04
SCO4849	0,83	4,E-01	0,38	4,E-06	0,17	8,E-17	0,46	1,E-04	0,20	1,E-14	0,44	5,E-05
SCO4850	0,86	5,E-01	0,67	7,E-02	0,41	3,E-05	0,77	2,E-01	0,47	4,E-04	0,61	2,E-02
SCO4853	1,09	7,E-01	3,85	2,E-08	2,65	5,E-05	3,54	6,E-08	2,44	1,E-04	0,69	8,E-02
SCO4854	1,43	2,E-01	4,39	7,E-07	3,26	7,E-05	3,07	1,E-04	2,28	4,E-03	0,74	3,E-01
SCO4859	1,15	6,E-01	2,84	3,E-05	3,33	3,E-06	2,48	2,E-04	2,91	2,E-05	1,17	6,E-01
SCO4860	1,20	3,E-01	2,35	1,E-05	1,63	9,E-03	1,96	7,E-04	1,36	1,E-01	0,69	6,E-02
SCO4861	2,47	1,E-05	5,31	5,E-15	6,62	3,E-18	2,15	2,E-04	2,68	1,E-06	1,25	3,E-01
SCO4862	2,28	8,E-04	4,74	6,E-11	5,99	8,E-14	2,08	7,E-04	2,62	7,E-06	1,26	3,E-01
