gene	logFC	FDR	add_variable
vnz_36685	-5.01361855621948	4.08799708785726e-10	wt13-wt20
vnz_02150	4.92733308637968	4.10523524060133e-10	wt13-wt20
vnz_07265	-4.78309721019002	4.43932921095515e-10	wt13-wt20
vnz_33645	-5.61471301635241	4.44234385596e-10	wt13-wt20
vnz_23515	-5.72656500032082	4.76921342965461e-10	wt13-wt20
vnz_25245	4.85183818423875	4.82527470073215e-10	wt13-wt20
vnz_14335	5.3989170768038	5.04805815254191e-10	wt13-wt20
vnz_31545	-4.06401951927464	5.08087405975851e-10	wt13-wt20
vnz_18440	-5.86908203262327	5.10865560169991e-10	wt13-wt20
vnz_27245	-5.58455417425246	5.26362860666906e-10	wt13-wt20
vnz_32205	-6.58182129380102	5.46648013455657e-10	wt13-wt20
vnz_26270	3.81329429404663	5.75252606547333e-10	wt13-wt20
vnz_04650	-5.76029910466179	5.75252606547333e-10	wt13-wt20
vnz_28795	-5.38510106599581	5.83263781916387e-10	wt13-wt20
vnz_35025	-5.15113533553398	5.84571110729704e-10	wt13-wt20
vnz_00805	7.31648380759745	5.89111475085789e-10	wt13-wt20
vnz_13660	3.50096530460484	5.9696856379444e-10	wt13-wt20
vnz_20995	3.53710357861707	6.30014518277348e-10	wt13-wt20
vnz_29380	-3.99441314830571	6.32741475909794e-10	wt13-wt20
vnz_34440	-5.03898406903643	6.32741475909794e-10	wt13-wt20
vnz_28865	5.13537399402489	6.40040441794933e-10	wt13-wt20
vnz_06570	-4.10750370030037	6.7505102821188e-10	wt13-wt20
vnz_26595	3.8853703212003	6.83422631016663e-10	wt13-wt20
vnz_23865	-5.68651045616764	6.83422631016663e-10	wt13-wt20
vnz_09100	-4.53356468511296	7.0303173071022e-10	wt13-wt20
vnz_33530	-6.93089316541627	7.48595690011479e-10	wt13-wt20
vnz_06760	-7.62955946892662	8.01967915647947e-10	wt13-wt20
vnz_34610	3.88624220844234	8.28083970323114e-10	wt13-wt20
vnz_32215	-6.089531890025	9.69452069054094e-10	wt13-wt20
vnz_35695	-3.50200161877205	9.98694238085121e-10	wt13-wt20
vnz_04465	-5.15400023078951	1.02545003293971e-09	wt13-wt20
vnz_01260	-4.34434243683407	1.05098426780148e-09	wt13-wt20
vnz_00465	4.45606799754293	1.06983484639889e-09	wt13-wt20
vnz_04440	-4.73915168687785	1.10763357528352e-09	wt13-wt20
vnz_00780	5.01860395427993	1.13089120118409e-09	wt13-wt20
vnz_34940	-5.10959563487186	1.1554073824027e-09	wt13-wt20
vnz_21150	-4.55772566456782	1.16851113260422e-09	wt13-wt20
vnz_29390	-3.95880674765145	1.16851113260422e-09	wt13-wt20
vnz_30760	-4.67535320484282	1.24883068646271e-09	wt13-wt20
vnz_36605	-3.86203835339643	1.24883068646271e-09	wt13-wt20
vnz_23850	-7.68591837805782	1.30489466187237e-09	wt13-wt20
vnz_31075	3.87118029470028	1.44470585952619e-09	wt13-wt20
vnz_30365	-6.04007881171268	1.49200546169035e-09	wt13-wt20
vnz_04460	-5.67609855589581	1.50447329452133e-09	wt13-wt20
vnz_34920	-6.62022606765232	1.54681316529391e-09	wt13-wt20
vnz_35860	-4.01667660004255	1.54681316529391e-09	wt13-wt20
vnz_22830	-3.83629954883834	1.56683763125817e-09	wt13-wt20
vnz_25940	-5.76438078854088	1.58048964105326e-09	wt13-wt20
vnz_23575	-6.05258969534863	1.60667743843083e-09	wt13-wt20
vnz_27115	-3.74073514406115	1.63027396012756e-09	wt13-wt20
vnz_06770	-5.52314424933435	1.63027396012756e-09	wt13-wt20
vnz_16870	-3.70861232904508	1.66055211621731e-09	wt13-wt20
vnz_12805	-5.33906953590945	1.66055211621731e-09	wt13-wt20
vnz_25030	-4.36993985233665	1.75193699988176e-09	wt13-wt20
vnz_12335	-4.20437734356201	1.7917433417236e-09	wt13-wt20
vnz_35010	-8.35911453683443	1.821123513712e-09	wt13-wt20
vnz_21055	-6.65616009076522	1.99021573136141e-09	wt13-wt20
vnz_18210	-3.13136348702753	1.99818878479427e-09	wt13-wt20
vnz_33495	-7.29635871104647	2.0040017161618e-09	wt13-wt20
vnz_26590	3.55207795344035	2.05063937223138e-09	wt13-wt20
vnz_14970	-5.86484012729959	2.05063937223138e-09	wt13-wt20
vnz_34430	-7.20246402331867	2.05063937223138e-09	wt13-wt20
vnz_32220	-5.82804274743862	2.13808311979784e-09	wt13-wt20
vnz_16095	-5.2825240760524	2.25424990285452e-09	wt13-wt20
vnz_00475	3.95451237470434	2.36909975083094e-09	wt13-wt20
vnz_15150	-3.85768353110739	2.36909975083094e-09	wt13-wt20
vnz_09220	-3.82476191886563	2.37210104921584e-09	wt13-wt20
vnz_22825	-3.88315754330909	2.37210104921584e-09	wt13-wt20
vnz_07945	-3.9670693001004	2.37210104921584e-09	wt13-wt20
vnz_01170	-4.89068712375437	2.39459001257265e-09	wt13-wt20
vnz_28765	-3.20841600557591	2.46129222664184e-09	wt13-wt20
vnz_32150	-4.6566400318885	2.64691282578646e-09	wt13-wt20
vnz_35690	-3.72178068051832	2.64771804335247e-09	wt13-wt20
vnz_32075	3.32023231405386	2.67769028107417e-09	wt13-wt20
vnz_01005	-5.70186909370599	2.71866913859053e-09	wt13-wt20
vnz_08730	2.71093211579463	2.72828932159259e-09	wt13-wt20
vnz_15145	-5.33319512931202	2.7339337191597e-09	wt13-wt20
vnz_06785	-5.01751939651616	2.7339337191597e-09	wt13-wt20
vnz_15990	2.95767354936965	2.76679704463882e-09	wt13-wt20
vnz_01635	-4.45773816902405	2.7719585272533e-09	wt13-wt20
vnz_29150	-4.35809935935942	2.88885773797865e-09	wt13-wt20
vnz_25755	-4.38930272659424	2.92429120946227e-09	wt13-wt20
vnz_28905	6.43182365891104	2.92612955187024e-09	wt13-wt20
vnz_06765	-6.04025680428466	2.96765192622976e-09	wt13-wt20
vnz_03690	3.28187053971144	3.00442927349612e-09	wt13-wt20
vnz_31395	-4.83890334517744	3.08605959755039e-09	wt13-wt20
vnz_25025	-4.39740604994074	3.12480235467135e-09	wt13-wt20
vnz_36080	-3.79350869944079	3.17244888692812e-09	wt13-wt20
vnz_25055	-5.10260190286809	3.26724811186252e-09	wt13-wt20
vnz_33500	-6.72039524944643	3.34804534526054e-09	wt13-wt20
vnz_23005	-4.35747072236733	3.37541419731462e-09	wt13-wt20
vnz_23860	-7.79978929839379	3.39334663234032e-09	wt13-wt20
vnz_09995	4.12901760785817	3.39334663234032e-09	wt13-wt20
vnz_02915	2.96949588917381	3.39334663234032e-09	wt13-wt20
vnz_06800	2.81534115194253	3.46586560581562e-09	wt13-wt20
vnz_31390	-5.13363268486826	3.62768208138202e-09	wt13-wt20
vnz_33830	-3.51658903349276	3.76335552718654e-09	wt13-wt20
vnz_00470	4.31238204151899	3.76335552718654e-09	wt13-wt20
vnz_20785	3.46191712556102	3.78243195662956e-09	wt13-wt20
vnz_09475	-4.79485000901848	4.14341350496825e-09	wt13-wt20
vnz_03760	-3.73407378972586	4.17767130844144e-09	wt13-wt20
vnz_01210	-4.06987679487862	4.25666128976308e-09	wt13-wt20
vnz_33825	-3.7868328312559	4.25666128976308e-09	wt13-wt20
vnz_02920	6.77677765260707	4.27316943714022e-09	wt13-wt20
vnz_24690	-3.76303482446536	4.5655427620792e-09	wt13-wt20
vnz_36075	-3.75166621363154	4.5655427620792e-09	wt13-wt20
vnz_22005	-3.53270179125955	4.5655427620792e-09	wt13-wt20
vnz_22960	-9.72351553976087	4.63519894865663e-09	wt13-wt20
vnz_34790	-5.08259412581556	4.67387855750369e-09	wt13-wt20
vnz_13240	3.51618116835566	4.74168311439714e-09	wt13-wt20
vnz_21550	3.58721353251636	4.76137237370928e-09	wt13-wt20
vnz_16840	-3.37765944619922	5.06917127063032e-09	wt13-wt20
vnz_23855	-8.48227066849164	5.46571716942301e-09	wt13-wt20
vnz_00785	5.64075217613395	5.60512772489465e-09	wt13-wt20
vnz_02525	-3.82914278093829	5.69549035141694e-09	wt13-wt20
vnz_23510	-5.02854138317003	6.1306706679598e-09	wt13-wt20
vnz_15485	-4.06046430761243	6.1306706679598e-09	wt13-wt20
vnz_14975	-3.52442478773964	6.46641842642392e-09	wt13-wt20
vnz_04435	-4.20408186550162	6.5976083581358e-09	wt13-wt20
vnz_22170	-3.9228423655327	6.64763292702348e-09	wt13-wt20
vnz_22870	-6.72714976865944	6.79791624431493e-09	wt13-wt20
vnz_27580	-4.33529268846154	6.81326106541012e-09	wt13-wt20
vnz_33765	-3.46219456919009	7.05535814155543e-09	wt13-wt20
vnz_09020	-5.83404362625704	7.27037844891965e-09	wt13-wt20
vnz_24125	-3.92087738259048	7.27037844891965e-09	wt13-wt20
vnz_31830	-4.28745011630395	7.29027522005521e-09	wt13-wt20
vnz_00235	-4.55751576784706	7.4565944938164e-09	wt13-wt20
vnz_04445	-4.29959527645269	7.6624223891824e-09	wt13-wt20
vnz_33480	-5.18373793163634	7.68209337016771e-09	wt13-wt20
vnz_16480	4.13099988970376	7.72275940309005e-09	wt13-wt20
vnz_24300	-4.90434107110373	7.88204092761323e-09	wt13-wt20
vnz_33775	-4.14901427337975	7.97878434775798e-09	wt13-wt20
vnz_30375	-5.53532497705052	7.97878434775798e-09	wt13-wt20
vnz_24720	-4.93898295515993	8.01603775081804e-09	wt13-wt20
