gene logFC FDR add_variable
vnz_00230 -0.488728299051499 1 24h
vnz_00230 -0.613374369745755 1 48h
vnz_00235 -0.405831704191978 1 18h
vnz_00235 -0.669252196935109 1 24h
vnz_00235 -0.433802316737798 1 48h
vnz_00240 -0.41004632996698 1 18h
vnz_00240 -0.434266093791361 1 24h
vnz_00240 -0.150148266959199 1 48h
vnz_00245 -0.181168194772546 1 18h
vnz_00245 -0.499143771089752 1 24h
vnz_00245 -0.220011975872151 1 48h
vnz_00250 0.702819733293482 0.05 18h
vnz_00250 0.86027561924377 0.05 24h
vnz_00250 1.32455684515514 0.05 48h
vnz_00255 -0.304027264193929 1 18h
vnz_00255 -0.473436658531395 1 24h
vnz_00255 -0.0934646828005824 1 48h
vnz_00260 0.0889576960084268 1 18h
vnz_00260 -0.56188148038868 1 24h
vnz_00260 -0.353919055177259 1 48h
vnz_00265 -0.347305144880616 1 18h
vnz_00265 -0.771206872619453 1 24h
vnz_00265 -0.145571843222371 1 48h
vnz_00270 -0.528187002868084 1 18h
vnz_00270 -1.15278514391176 0.05 24h
vnz_00270 -0.0850385427208976 1 48h
vnz_00275 1.7214882719154 0.05 18h
vnz_00275 1.03213370105756 0.05 24h
vnz_00275 0.370657474205325 1 48h
vnz_00280 -0.0127545809018798 1 18h
vnz_00280 -0.118583824511107 1 24h
vnz_00280 -0.105325595823846 1 48h
vnz_00285 -0.515053241773434 1 18h
vnz_00285 -0.192760781446562 1 24h
vnz_00285 -0.533704390214595 1 48h
vnz_00290 -0.536721516061049 1 18h
vnz_00290 -0.469505993981366 1 24h
vnz_00290 -0.311910626636549 1 48h
vnz_00295 -0.116851426093711 1 18h
vnz_00295 -0.550358202511236 1 24h
vnz_00295 -0.587574219255535 1 48h
vnz_00300 -0.664967569390854 1 18h
vnz_00300 -0.663937488868177 1 24h
vnz_00300 -0.418826367091774 1 48h
vnz_00305 -0.861024615938655 0.05 18h
vnz_00305 -0.897147039595361 0.05 24h
vnz_00305 0.00209253507302738 1 48h
vnz_00310 -0.757535250737123 1 18h
vnz_00310 -0.742610963086694 1 24h
vnz_00310 0.00516491374301963 1 48h
vnz_00315 -0.573962533180166 1 18h
vnz_00315 -0.454913557280523 1 24h
vnz_00315 -0.592844481830497 1 48h
vnz_00320 -0.657893106447051 1 18h
vnz_00320 -0.720327193373886 1 24h
vnz_00320 0.152922174719991 1 48h
vnz_00325 -0.743449450940505 1 18h
vnz_00325 -0.740072710203596 1 24h
vnz_00325 -0.200939476635498 1 48h
vnz_00330 -0.721205159624065 1 18h
vnz_00330 -0.964946766785234 0.05 24h
vnz_00330 -0.185746832008125 1 48h
vnz_00340 -0.83892200760579 0.05 18h
vnz_00340 -1.6723402784033 0.05 24h
vnz_00340 -0.306735395755675 1 48h
vnz_00345 -0.670740845829953 1 18h
vnz_00345 -0.96416978147359 0.05 24h
