gene logFC FDR add_variable
SCO5074 -51.4795645652 2.851e-13 dccr1vsWT
SCO5075 -51.7975729775 9.992e-16 dccr1vsWT
SCO5076 -9.5114317672 1.258e-06 dccr1vsWT
SCO5077 -6.9937091247 6.606e-05 dccr1vsWT
SCO5078 -51.3629676934 3.25e-13 dccr1vsWT
SCO5079 -35.3295594245 2.414e-12 dccr1vsWT
SCO5080 -35.2112062962 2.528e-12 dccr1vsWT
SCO5081 -26.5584979757 3.423e-12 dccr1vsWT
SCO5083 -8.2236974774 0.001299 dccr1vsWT
SCO5084 -6.4773751808 0.004482 dccr1vsWT
SCO5085 -6.2067485182 0.0001135 dccr1vsWT
SCO5086 -64.1891170785 8.882e-16 dccr1vsWT
SCO5087 -92.8631982209 2.22e-16 dccr1vsWT
SCO5088 -81.9219877311 0 dccr1vsWT
SCO5089 -100.1446579628 2.691e-12 dccr1vsWT
SCO5090 -88.9718086271 1.11e-16 dccr1vsWT
SCO5091 -47.333891618 1.44e-12 dccr1vsWT
SCO5092 -61.4914593743 1.164e-09 dccr1vsWT
SCO5157 5.7854003165 0.000757 dccr1vsWT
SCO5225 19.2737516143 2.237e-06 dccr1vsWT
SCO5226 17.0856435723 1.711e-05 dccr1vsWT
SCO5227 9.9654663769 0.0001636 dccr1vsWT
SCO5269 -5.1440123612 0.001555 dccr1vsWT
SCO5276 -9.7551323386 2.494e-05 dccr1vsWT
SCO5277 -5.5057214234 0.0001379 dccr1vsWT
SCO5288 5.1783321115 0.0005106 dccr1vsWT
SCO5350 -8.7589635665 0.0001997 dccr1vsWT
SCO5511 -5.4040106735 0.006193 dccr1vsWT
SCO5588 5.8300928947 0.001402 dccr1vsWT
SCO5658 16.0926952762 0.0004504 dccr1vsWT
SCO5666 8.2030577647 0.000723 dccr1vsWT
SCO5667 8.858993948 0.0005758 dccr1vsWT
SCO5668 9.2073306414 0.0008479 dccr1vsWT
SCO5669 9.0614703016 0.001644 dccr1vsWT
SCO5670 8.0982917708 0.0004876 dccr1vsWT
SCO5671 5.777828947 0.002444 dccr1vsWT
SCO5769 5.9195028062 0.003249 dccr1vsWT
SCO5770 10.1848629594 0.0001302 dccr1vsWT
SCO5771 15.7678054975 0.0004821 dccr1vsWT
SCO5804 5.4564773028 0.0004972 dccr1vsWT
SCO5830 7.9717885974 0.0002982 dccr1vsWT
SCO5839 7.9773191209 0.0001032 dccr1vsWT
SCO5841 8.5622131558 0.00104 dccr1vsWT
SCO5856 7.1175508894 0.0005795 dccr1vsWT
SCO5880 -5.9359366428 4.707e-05 dccr1vsWT
SCO5912 -6.2109990023 0.0155000321 dccr1vsWT
SCO5957 5.6154003799 0.003335 dccr1vsWT
SCO5970 -6.4029577573 0.0002362 dccr1vsWT
SCO5972 5.2671179167 0.0034 dccr1vsWT
SCO5982 8.2935505152 6.89e-05 dccr1vsWT
