	32hlogFC	42hlogFC	49hlogFC	56hlogFC	66hlogFC	32h	42h	49h	56h	66h
SCO0850	0,101	3,014	2,267	1,201	1,341	0,999071	0	0,000002	0,005864	0,001031
SCO0851	-0,448	-0,538	-0,336	-0,251	-0,118	0,000956	0,000046	0,007143	0,07684	0,467561
SCO0853	-0,253	2,076	3,422	3,126	3,585	0,908134	0,00003	0	0	0
SCO0870	0,848	1,083	1,09	1,288	1,492	0,003777	0,000114	0,000184	0,000033	0,000003
SCO0871	0,669	0,582	0,761	0,971	0,883	0,024493	0,02631	0,005329	0,000985	0,001374
SCO0872	0,16	0,566	0,605	0,812	0,312	0,838525	0,015789	0,011388	0,002071	0,257938
SCO0894	-0,087	0,012	0,462	0,449	0,433	0,908134	0,954543	0,004418	0,009901	0,007044
SCO0895	0,098	0,043	1,116	1,505	1,426	0,945346	0,879998	0,000006	0	0
SCO0896	0,54	1,155	1,138	1,61	1,599	0,139827	0,000174	0,000364	0,000006	0,000004
SCO0897	0,074	0,552	0,6	1,21	1,095	0,999071	0,127775	0,080445	0,002256	0,002903
SCO0906	0,242	0,788	0,66	0,221	-0,156	0,508583	0,00036	0,003085	0,500424	0,641521
SCO0907	0,152	0,474	0,593	0,26	-0,031	0,689383	0,005412	0,001162	0,257698	0,946054
SCO0910	-0,036	0,739	0,014	-0,176	-0,321	0,999071	0,001722	0,961659	0,647303	0,229781
SCO0915	0,056	1,462	2,459	1,006	0,742	0,999071	0,033225	0,000925	0,288331	0,402606
SCO0919	0,48	2,054	1,684	1,32	1,544	0,612181	0,00007	0,001042	0,014027	0,001918
SCO0925	1,263	1,041	1,045	0,888	1,454	0,004218	0,008683	0,009963	0,053188	0,00058
SCO0927	-0,115	-0,146	-0,474	-0,349	-0,252	0,842708	0,447999	0,007176	0,084045	0,191505
SCO0931	1,892	2,178	0,006	0,606	-0,486	0,004401	0,000451	0,994177	0,512944	0,584346
SCO0932	1,438	1,577	0,083	0,441	-0,6	0,01892	0,004121	0,901168	0,62177	0,388312
SCO0933	0,354	1,245	0,091	0,06	0,004	0,492025	0,000117	0,793169	0,936355	0,995536
SCO0934	1,644	5,067	1,481	0,435	0,164	0,129819	0,000001	0,07988	0,79611	0,945315
SCO0935	0,274	1,446	-0,384	-0,116	0,129	0,851372	0,000721	0,363813	0,901237	0,893902
SCO0948	-0,088	-0,244	-0,136	-0,253	-0,877	0,983991	0,375757	0,60982	0,512944	0,000874
SCO0954	0,697	1,194	0,56	-0,003	0,344	0,204172	0,004356	0,171055	0,998416	0,574498
SCO0955	1,251	2,974	2,002	0,397	0,095	0,222719	0,000223	0,010406	0,785504	0,96227
SCO0958	-0,59	0,489	0,522	0,104	-0,892	0,073042	0,082694	0,052342	0,855543	0,002042
SCO0961	0,168	0,236	0,072	-0,183	-0,46	0,585357	0,156789	0,683014	0,449892	0,005787
SCO0962	0,142	-0,041	-0,264	-0,308	-0,726	0,834854	0,882106	0,191673	0,270436	0,000807
SCO0973	-1,436	-0,673	-0,737	-1,26	-0,975	0,005484	0,161355	0,103324	0,0163	0,044815
SCO0974	-0,41	0,29	-0,535	-0,328	-1,073	0,508583	0,476818	0,127034	0,563212	0,00394
SCO0982	0,12	1,011	2,538	3,104	1,313	0,999071	0,025588	0,000004	0	0,005138
SCO0983	0,159	0,762	1,451	1,823	0,871	0,959629	0,036953	0,000312	0,000026	0,020507
SCO0990	-0,667	-0,371	-0,831	-0,766	-0,407	0,053184	0,231815	0,006662	0,022236	0,233105
SCO0993	-1,16	-0,271	-0,693	-1,01	-1,088	0,003869	0,511553	0,047527	0,012643	0,003559
SCO0997	-0,301	-0,276	-0,819	-0,609	-0,483	0,640727	0,427423	0,009891	0,10073	0,162079
SCO1000	-0,254	-0,645	-0,928	-0,612	-0,461	0,606173	0,009439	0,000611	0,030683	0,080817
SCO1012	-0,443	-0,492	-0,351	0,077	0,269	0,01092	0,001911	0,022665	0,799918	0,111782
SCO1030	0,192	2,148	1,749	0,163	-0,246	0,960859	0,000016	0,000335	0,858367	0,761681
SCO1041	0,057	-0,405	-0,499	-0,195	0,129	0,977816	0,007455	0,001946	0,368399	0,552747
SCO1050	0,074	1,926	1,123	0,779	0,755	0,999071	0,000001	0,001042	0,031539	0,020862
SCO1051	0,086	0,584	0,48	0,398	0,33	0,955399	0,002891	0,013997	0,081627	0,116899
SCO1062	-0,22	-0,405	-0,013	-0,216	-0,233	0,204172	0,002236	0,940808	0,204379	0,096939
