	32hlogFC	42hlogFC	49hlogFC	56hlogFC	66hlogFC	32h	42h	49h	56h	66h
SCO2822	0,049	0,317	0,194	0,322	-1,368	0,999071	0,500019	0,664782	0,63602	0,001588
SCO2823	-0,013	0,293	0,279	0,15	-1,37	0,999071	0,537661	0,515247	0,858842	0,001387
SCO2827	0,236	-0,116	-0,5	-0,449	-1,047	0,516788	0,640224	0,016475	0,065571	0,000013
SCO2835	0,18	1,227	0,344	0,094	-0,065	0,557907	0	0,034764	0,761094	0,857137
SCO2838	-0,122	-0,166	-0,525	-0,211	-0,173	0,683862	0,247288	0,000407	0,246737	0,283681
SCO2841	0,059	1,68	1,111	-0,02	-0,003	0,999071	0,000032	0,003921	0,983904	0,997373
SCO2842	-0,193	1,195	1,311	0,093	0,199	0,909544	0,000807	0,000536	0,906796	0,748654
SCO2843	-0,179	-0,469	-0,144	-0,182	0,216	0,419895	0,001122	0,305782	0,358643	0,166053
SCO2844	-0,341	-0,222	-1,533	0,352	-0,179	0,850637	0,728713	0,004498	0,689571	0,877751
SCO2850	-0,756	-0,457	-0,968	-0,751	-0,049	0,000718	0,020843	0,000024	0,000769	0,919348
SCO2861	-0,766	-0,903	-0,228	0,275	0,938	0,042236	0,005834	0,504065	0,604635	0,005533
SCO2864	5,166	5,734	5,251	5,326	5,479	0	0	0	0	0
SCO2865	4,46	5,235	4,561	4,683	5,353	0	0	0	0	0
SCO2866	3,497	3,99	3,432	3,287	4,084	0	0	0	0,000001	0
SCO2867	3,654	3,387	2,894	2,759	2,819	0	0	0,000005	0,000013	0,000006
SCO2868	3,427	3,318	2,782	2,78	2,666	0	0	0,000004	0,000005	0,000005
SCO2869	3,066	2,176	2,467	2,211	2,107	0	0	0	0,000001	0,000001
SCO2872	0,546	0,004	0,109	0,362	0,136	0,006104	0,987904	0,567272	0,087302	0,624596
SCO2879	-0,926	-0,853	-0,716	-0,296	-0,393	0,000117	0,000115	0,001265	0,305152	0,073929
SCO2880	-0,903	-0,795	-1,076	-0,715	-0,542	0,002391	0,003193	0,000265	0,017824	0,052176
SCO2881	-0,534	-0,924	-0,735	-0,302	-0,45	0,044555	0,000152	0,002511	0,357094	0,063406
SCO2884	-0,722	-0,63	-0,756	-0,32	-0,215	0,004368	0,005834	0,001821	0,313742	0,496992
SCO2889	-0,012	0,932	0,592	0,228	0,542	0,999071	0,000028	0,00488	0,45422	0,009069
SCO2892	0,176	-0,641	-0,029	0,234	0,515	0,737665	0,002773	0,910926	0,468096	0,017939
SCO2899	-0,439	-0,419	-0,622	-0,166	-0,037	0,065126	0,034554	0,002921	0,606356	0,946054
SCO2914	1,407	0,597	0,374	0,185	-0,133	0,000062	0,044618	0,202434	0,727768	0,827238
SCO2924	0,564	1,448	0,259	-0,229	-1,043	0,307616	0,000325	0,522936	0,744487	0,008798
SCO2927	0,187	0,966	0,883	1,286	1,847	0,908134	0,003933	0,009435	0,000616	0,000003
SCO2929	0,011	0,686	-0,085	-0,082	-0,187	0,999071	0,000073	0,617247	0,786663	0,345058
SCO2930	-0,086	0,847	0,381	-0,145	-0,168	0,993966	0,002782	0,164789	0,785504	0,730898
SCO2931	0,021	0,755	0,218	0,211	-0,015	0,999071	0,002884	0,394558	0,603806	0,983462
SCO2933	0	0,236	-0,738	-0,457	-0,27	0,99992	0,408425	0,005707	0,15737	0,42012
SCO2936	-0,043	-0,569	-0,418	-0,056	-0,035	0,999071	0,009288	0,049067	0,910648	0,953723
SCO2943	0,334	-0,177	0,261	0,244	0,281	0,003465	0,088701	0,012135	0,037142	0,007865
SCO2959	-0,279	-0,092	0,016	0,055	-1,607	0,355199	0,709831	0,951045	0,903335	0
SCO2967	-0,261	-0,67	-0,321	-0,056	-0,065	0,423477	0,001329	0,10611	0,904718	0,891212
SCO2971	-0,813	-0,536	-0,164	0,039	0,493	0,002344	0,025264	0,514033	0,950507	0,048962
SCO2982	0,915	0,592	0,54	0,303	-0,026	0,006501	0,050851	0,066337	0,518448	0,974596
SCO2983	0,925	0,625	0,228	0,007	-0,004	0,000242	0,004524	0,298661	0,990459	0,994428
SCO2991	-0,467	-0,729	-0,609	-0,463	0,034	0,077767	0,001358	0,007844	0,075636	0,954254
SCO2992	-0,154	-0,55	-0,404	-0,311	-0,021	0,650128	0,000849	0,012936	0,107557	0,959095
SCO2997	0,401	1,072	0,69	0,356	0,181	0,10897	0,000005	0,001635	0,17183	0,532223
SCO2998	0,331	0,848	1,218	0,411	0,052	0,609884	0,00943	0,000619	0,385535	0,953723
SCO3001	0,189	0,589	0,301	0,171	0,027	0,589297	0,001529	0,092726	0,551519	0,954824
SCO3002	-0,217	0,351	-1,67	-0,239	-0,159	0,983991	0,627933	0,008086	0,846455	0,915534
SCO3018	0,211	-0,184	0,117	0,28	0,383	0,143776	0,114381	0,308928	0,031669	0,001404
SCO3024	0,352	0,012	-0,017	0,031	0,251	0,006501	0,942426	0,903153	0,906626	0,036928
SCO3028	0,306	-0,148	-0,021	0,306	0,64	0,382541	0,572768	0,942358	0,331317	0,005751
SCO3040	-0,092	0,789	0,249	0,216	0,188	0,990001	0,005607	0,391441	0,645378	0,692245
SCO3044	-0,182	-0,584	-0,075	-0,121	0,33	0,556244	0,000753	0,685307	0,668723	0,063012
SCO3049	-0,075	0,061	0,066	0,114	0,645	0,990001	0,842569	0,805528	0,799225	0,006951
SCO3051	0,388	1,562	-0,54	0,634	1,008	0,860726	0,00947	0,380733	0,495868	0,125309
SCO3053	-0,532	-0,546	-0,08	0,066	0,779	0,016468	0,0058	0,714863	0,874705	0,000255
SCO3057	0,095	0,638	0,069	0,043	-0,041	0,935325	0,001062	0,74872	0,926237	0,933733
SCO3062	-0,227	-0,62	-0,274	-0,116	-0,023	0,620451	0,006674	0,226444	0,789222	0,970025
SCO3069	-0,362	-0,587	-0,65	-0,474	0,076	0,283592	0,014377	0,008576	0,098302	0,891995
SCO3073	0,029	1,046	0,542	0,381	0,491	0,999071	0,003933	0,122011	0,490447	0,237176
SCO3075	0,357	0,503	0,278	0,103	0,15	0,047436	0,001478	0,065157	0,70224	0,477206
SCO3080	0,266	0,438	0,542	0,607	0,408	0,391155	0,027901	0,008268	0,006732	0,05055
SCO3085	0,08	-0,09	0,913	0,537	0,372	0,995747	0,795603	0,001558	0,094663	0,23439
SCO3086	0,505	0,345	0,39	0,522	1,238	0,451651	0,457787	0,349785	0,38025	0,003846
SCO3096	0,029	-0,403	0,254	0,283	1,009	0,999071	0,126996	0,328628	0,470656	0,000288
SCO3097	-0,096	2,271	1,301	1,507	0,993	0,999071	0,000003	0,002637	0,001071	0,018647
SCO3098	0,315	0,71	0,187	-0,014	0,053	0,368197	0,002324	0,431608	0,981945	0,927446
SCO3099	0,099	-0,223	-0,498	-0,364	-0,272	0,800188	0,103305	0,000644	0,0163	0,053289
SCO3106	0,225	0,032	0,344	0,443	0,629	0,492025	0,903633	0,065215	0,045035	0,001753
SCO3108	0,076	2,391	1,858	0,826	1,456	0,999071	0,000049	0,001351	0,259413	0,009127
SCO3127	0,488	0,499	0,166	0,084	0,99	0,097622	0,040902	0,515431	0,868919	0,000179
SCO3132	0,808	0,639	0,702	0,354	0,184	0,001103	0,004121	0,002544	0,22133	0,568802
SCO3150	0,574	0,434	0,245	0,223	0,346	0,000041	0,000408	0,03281	0,119602	0,004596
SCO3156	-0,664	-0,204	-0,24	0,078	0,827	0,022553	0,485886	0,360666	0,890236	0,002144
SCO3157	-0,275	-0,077	-0,064	0,059	0,496	0,2838	0,73098	0,752565	0,87995	0,007878
SCO3169	0,375	4,216	2,777	0,741	0,579	0,951104	0,000007	0,001558	0,572311	0,664821
SCO3175	0,66	0,972	0,806	0,926	1,66	0,070756	0,001911	0,010374	0,007481	0,000005
SCO3194	-0,15	-0,777	-0,018	0,361	1,252	0,942231	0,01265	0,963763	0,43798	0,000214
SCO3207	-0,625	1,516	0,725	-0,396	-0,74	0,35928	0,001026	0,098045	0,584439	0,134441
SCO3210	0,14	0,127	0,276	-0,223	-0,888	0,946839	0,732635	0,366632	0,654738	0,004265
SCO3211	0,034	-0,001	0,022	-0,151	-0,98	0,999071	0,997651	0,943263	0,719073	0,000163
SCO3215	0,037	-0,053	-0,507	-0,567	-1,528	0,999071	0,897727	0,082981	0,120662	0,000011
SCO3217	-0,75	-0,415	-0,451	-0,824	-0,391	0,017909	0,151064	0,097942	0,008647	0,224592
SCO3218	-0,492	0,063	-1,187	-1,843	-2,356	0,504536	0,91482	0,007288	0,000181	0,000004
SCO3220	0,039	-0,002	-1,567	-1,374	-2,068	0,999071	0,998228	0,0048	0,022789	0,000302
SCO3221	0,017	-0,098	-0,172	-0,616	-1,519	0,999071	0,859266	0,703217	0,268713	0,000505
SCO3222	-0,59	0,263	-0,049	-0,901	-1,682	0,621651	0,720221	0,948554	0,263835	0,006236
SCO3227	0,082	-0,061	-0,245	-0,427	-0,888	0,9318	0,764132	0,117156	0,018378	0,000004
SCO3229	0,083	-0,047	-0,942	-1,397	-2,139	0,999071	0,942125	0,035387	0,007838	0,000036
SCO3230	0,071	-0,198	0,017	-0,315	-0,772	0,999071	0,498865	0,95981	0,40263	0,003824
SCO3231	0,062	-0,227	-0,183	-0,262	-0,954	0,999071	0,369678	0,441123	0,450592	0,000142
SCO3232	0,01	-0,249	-0,124	-0,218	-0,83	0,999071	0,394985	0,663361	0,614134	0,002534
SCO3233	-0,095	-0,127	-0,252	-0,321	-1,674	0,999071	0,823892	0,585122	0,659083	0,000334
SCO3235	-0,186	-0,361	-0,737	-0,924	-1,272	0,832779	0,194931	0,007755	0,002052	0,000028
SCO3236	-0,556	-0,343	-0,904	-1,271	-1,679	0,398996	0,477483	0,029859	0,007725	0,000253
SCO3238	-0,466	-0,153	0,015	-0,357	-0,991	0,102275	0,576476	0,959579	0,260401	0,000118
SCO3239	0,06	-0,222	-0,322	-0,489	-1,363	0,999071	0,56104	0,328611	0,272576	0,000131
SCO3240	-0,03	-0,007	-0,339	-0,415	-0,755	0,999071	0,984811	0,197237	0,246231	0,006201
SCO3244	-0,193	-0,222	-0,762	-1,212	-1,937	0,883998	0,545511	0,016455	0,000802	0,000001
SCO3245	-0,029	-0,089	-0,742	-0,629	-1,254	0,999071	0,775607	0,003805	0,023246	0,00001
SCO3247	-0,037	-0,076	-0,573	-0,782	-1,745	0,999071	0,87841	0,105758	0,066617	0,000025
SCO3248	-0,134	-0,014	-0,925	-0,803	-1,056	0,95081	0,973058	0,002743	0,015017	0,000681
SCO3249	-0,301	-0,105	-1,076	-1,292	-2,004	0,965715	0,915164	0,12326	0,148205	0,006749
SCO3281	0,174	0,441	0,923	1,41	1,376	0,880071	0,131628	0,00244	0,000029	0,000023
SCO3282	-0,234	-0,955	-0,302	-0,199	0,412	0,722219	0,000721	0,268577	0,665058	0,180876
SCO3284	0,184	0,489	0,781	0,738	0,625	0,424684	0,000992	0,000006	0,000018	0,000091
SCO3290	-0,882	-0,272	-0,876	-1,024	-1,761	0,324144	0,718058	0,146323	0,194433	0,005466
SCO3294	0,455	0,24	-0,139	0,031	-0,612	0,013587	0,158064	0,412329	0,940518	0,000495
SCO3301	-0,033	-0,294	0,188	0,532	0,714	0,999071	0,292306	0,488011	0,08431	0,007913
SCO3302	-0,085	-0,223	0,442	0,278	0,602	0,860726	0,097373	0,001702	0,071984	0,000049
SCO3309	-0,294	0,442	-1,779	-0,449	-0,511	0,874869	0,402535	0,000582	0,549225	0,404692
SCO3326	-0,717	-0,605	-0,578	-0,309	-0,848	0,00576	0,00947	0,014136	0,351641	0,000638
SCO3330	-0,156	-0,414	-0,573	-0,207	-0,11	0,73837	0,027864	0,003759	0,472078	0,741787
SCO3331	-0,15	-0,168	-0,511	-0,139	-0,191	0,656936	0,331579	0,002396	0,587018	0,324196
SCO3337	-0,186	-0,663	0,005	-0,161	0,071	0,657568	0,001072	0,982613	0,617497	0,871241
SCO3339	0,103	-0,356	0,047	0,286	0,21	0,770069	0,00695	0,751081	0,063074	0,148484
SCO3342	0,529	-0,817	0,369	0,552	0,84	0,172579	0,006588	0,210974	0,133013	0,006471
SCO3344	-0,341	-0,557	-0,351	-0,196	0,352	0,244722	0,009709	0,094532	0,565904	0,135309
SCO3346	0,079	-0,549	-0,297	0,132	0,04	0,952606	0,001841	0,07751	0,645915	0,927437
SCO3350	0,116	1,49	0,362	0,572	-0,88	0,977435	0,000014	0,232548	0,124893	0,005347
SCO3351	0,196	0,335	0,399	0,523	0,6	0,68968	0,138426	0,060793	0,03679	0,008161
SCO3356	0,042	-0,592	0,158	0,275	0,64	0,999071	0,001005	0,387143	0,232344	0,000743
SCO3363	-0,386	-0,76	-0,445	-0,131	-0,27	0,204673	0,001378	0,046763	0,759589	0,342367
SCO3365	0,156	1,039	-0,048	-0,157	-0,852	0,974729	0,008322	0,922034	0,843181	0,037504
SCO3397	0,011	-0,899	-0,211	-0,121	0,439	0,999071	0,000205	0,366536	0,779715	0,070745
SCO3404	-0,007	0,548	0,059	0,067	0,249	0,999071	0,008877	0,806509	0,882689	0,330467
SCO3405	0,35	1,08	0,51	0,294	0,741	0,724453	0,0087	0,210182	0,670175	0,092391
SCO3406	0,514	0,647	0,813	0,782	-0,039	0,071919	0,007325	0,001561	0,003759	0,953575
SCO3408	0,221	-0,009	0,296	0,295	0,396	0,267075	0,964152	0,033548	0,079674	0,007324
SCO3428	-0,117	1,696	0,919	-0,445	-0,91	0,999071	0,002167	0,08266	0,617497	0,12627
SCO3460	0,325	0,215	-0,01	0,083	0,01	0,004482	0,036429	0,93882	0,62142	0,971435
SCO3470	-0,09	-0,731	-0,097	0,202	0,258	0,986501	0,005182	0,740466	0,636712	0,463575
SCO3485	-0,063	-0,35	-0,774	-0,104	0,075	0,999071	0,252448	0,00893	0,861806	0,915701
SCO3487	0,419	-0,469	-0,063	0,064	0,789	0,300667	0,104737	0,8551	0,926184	0,007067
SCO3488	-0,217	-0,589	-0,885	-0,17	0,117	0,771327	0,034695	0,002644	0,733754	0,84269
SCO3499	-0,025	-0,582	-0,359	0,098	-0,022	0,999071	0,009439	0,100055	0,82486	0,970966
SCO3508	-0,284	-0,472	-1,114	-0,23	-0,283	0,663163	0,128764	0,000697	0,64865	0,499203
SCO3509	-0,099	-0,363	-1,268	-0,357	-0,239	0,999071	0,376848	0,00149	0,543479	0,708783
SCO3521	0,063	-0,049	0,015	-0,025	-0,417	0,964824	0,798656	0,937212	0,948405	0,006543
SCO3524	0,001	-0,624	-0,098	0,114	-0,112	0,99992	0,001363	0,632829	0,740014	0,738741
SCO3534	-0,168	-0,504	-0,647	0,113	-0,056	0,794312	0,025842	0,005752	0,797354	0,918354
SCO3540	1,104	0,875	0,112	0,184	-0,17	0,000425	0,001808	0,714961	0,699322	0,718906
SCO3547	0,153	1,527	0,388	0,213	0,233	0,85338	0	0,086384	0,564162	0,456574
SCO3560	0,433	1,141	0,452	0,273	-0,037	0,056961	0,000001	0,019112	0,314289	0,944588
SCO3561	0,42	2,221	0,072	0,15	0,281	0,745609	0,000065	0,909305	0,895514	0,766391
SCO3562	0,994	1,892	1,231	1,009	0,127	0,009314	0,000003	0,000895	0,008655	0,866946
SCO3563	0,281	0,674	0,136	-0,175	0,096	0,21376	0,000181	0,439276	0,506409	0,755009
SCO3573	-0,338	-0,507	-0,231	-0,338	-0,147	0,032425	0,000427	0,085191	0,032378	0,41511
SCO3574	-0,134	-0,49	-0,344	-0,3	-0,522	0,681403	0,001193	0,018741	0,085731	0,000807
SCO3583	0,359	2,278	1,185	0,625	0,164	0,704834	0,000002	0,005425	0,261026	0,852288
SCO3603	0,07	0,995	0,7	0,171	0,139	0,999071	0,003513	0,033591	0,791152	0,846641
SCO3607	-1,057	-0,238	-0,525	-0,051	0,605	0,002266	0,499105	0,081319	0,949102	0,063854
SCO3608	-0,935	-0,553	-0,911	-0,36	0,252	0,001814	0,038758	0,001473	0,34127	0,497124
SCO3609	-0,259	-0,111	-0,268	-0,086	-0,103	0,017725	0,286057	0,007658	0,581611	0,416208
SCO3622	-0,019	-0,353	-0,87	-0,953	-1,779	0,999071	0,094057	0,000165	0,000078	0
SCO3623	0,268	-0,261	0,068	-0,085	-0,836	0,573738	0,344653	0,817987	0,874691	0,001621
SCO3626	0,678	0,449	1,16	0,646	0,844	0,025873	0,100847	0,000117	0,035052	0,002543
SCO3635	-0,288	-0,321	-1,189	0,102	-0,115	0,856301	0,528523	0,008723	0,923489	0,915161
SCO3650	0,06	-0,105	-0,084	-0,016	0,373	0,945346	0,464064	0,530386	0,960962	0,00454
SCO3653	-0,257	-0,633	-0,404	-0,137	-0,209	0,573651	0,009077	0,087257	0,760015	0,552533
SCO3655	0,195	0,118	0,018	-0,032	-0,514	0,394271	0,483606	0,922386	0,929785	0,001015
SCO3656	0,371	0,8	-0,334	-0,275	-1,516	0,609565	0,028713	0,370983	0,653115	0,000148
SCO3662	-1,392	0,28	0,589	-0,332	-0,217	0,008233	0,616004	0,205859	0,676833	0,818541
SCO3675	0,003	-0,109	0,421	0,481	0,964	0,99951	0,622201	0,022381	0,023113	0,000009
SCO3682	0,119	0,462	0,299	0,833	0,204	0,835008	0,007355	0,072671	0,000038	0,333616
SCO3684	-0,223	-0,243	-0,799	0,055	-0,248	0,68498	0,372129	0,00233	0,927904	0,456574
SCO3687	0,16	0,511	1,738	1,523	1,271	0,916926	0,088269	0,000002	0,000016	0,000096
SCO3688	0,046	0,805	1,492	1,608	1,471	0,999071	0,000524	0	0	0
SCO3691	0,238	-0,033	0,388	0,885	0,714	0,559799	0,914269	0,070715	0,000421	0,001941
SCO3692	0,073	0,128	0,462	0,765	0,039	0,974729	0,546494	0,012592	0,00026	0,933534
SCO3704	-0,063	2,708	0,822	-0,101	0,031	0,999071	0,000094	0,196923	0,952419	0,985916
SCO3705	-0,157	1,997	0,413	-0,244	-0,154	0,98612	0,000055	0,374356	0,77648	0,880344
SCO3706	0,119	2,051	0,656	0,14	-0,026	0,999071	0,000087	0,169711	0,898279	0,984222
SCO3709	-0,167	-0,33	-0,727	-0,337	-0,051	0,730869	0,105341	0,000772	0,18928	0,916734
SCO3712	0,015	-0,582	-0,026	0,313	1,499	0,999071	0,203761	0,962709	0,672748	0,001198
SCO3740	-0,183	-0,498	-0,331	-0,097	-0,219	0,531945	0,002757	0,038486	0,746271	0,258552
SCO3763	0,189	0,807	0,154	0,065	-0,368	0,845543	0,004356	0,607213	0,923489	0,266445
SCO3766	0,127	0,061	0,018	-0,09	0,546	0,76274	0,765122	0,927909	0,761094	0,001198
SCO3775	0,474	0,297	1,144	1,138	0,783	0,213235	0,340677	0,000277	0,000441	0,007736
SCO3777	0,14	0,646	1,467	0,839	0,724	0,88399	0,005335	0,000001	0,001214	0,002596
SCO3779	0,089	-0,436	-0,214	-0,053	0,133	0,90646	0,00589	0,165846	0,874513	0,569267
SCO3786	0,055	2,486	2,815	1,517	0,879	0,999071	0	0	0,000062	0,008701
SCO3787	0,325	0,428	1,015	0,06	0,202	0,45366	0,112505	0,000462	0,925961	0,623283
SCO3790	-0,089	0,109	0,389	0,42	1,573	0,999071	0,845316	0,362179	0,519793	0,000465
SCO3791	0,253	0,498	0,431	0,499	1,027	0,766582	0,130082	0,171731	0,24771	0,002145
SCO3796	0,41	0,705	0,647	0,489	0,57	0,018216	0,000033	0,000169	0,004795	0,00055
SCO3800	0,465	1,551	0,604	0,865	0,498	0,37755	0,000038	0,070869	0,026713	0,203843
SCO3805	-0,068	0,031	-0,894	-0,37	-0,431	0,999071	0,938737	0,002769	0,358643	0,173903
SCO3814	2,288	2,359	0,611	1,173	0,494	0,000091	0,000023	0,215677	0,040097	0,464533
SCO3815	-0,406	-0,823	-0,115	0,102	0,058	0,145775	0,000345	0,62659	0,815	0,913694
SCO3816	-0,536	-0,595	-0,126	-0,036	0,179	0,020409	0,004052	0,56442	0,94611	0,543987
SCO3842	0,148	0,606	0,073	-0,013	0,097	0,773795	0,001928	0,734409	0,978726	0,791479
SCO3843	0,393	0,911	0,532	0,465	0,509	0,393969	0,002572	0,066468	0,245701	0,115102
SCO3845	0,441	0,456	0,55	0,624	0,549	0,001574	0,000408	0,000086	0,000023	0,000069
SCO3857	0,13	1,202	0,821	0,511	0,783	0,86414	0,000001	0,000249	0,026237	0,000323
SCO3860	-0,246	-0,286	-0,007	-0,205	0,14	0,008702	0,000982	0,944104	0,032678	0,128376
SCO3863	2,83	2,657	0,315	0,115	0,912	0,000073	0,000053	0,62786	0,939502	0,17916
SCO3868	-0,435	-0,332	-0,533	0,014	0,331	0,009554	0,027479	0,00103	0,972011	0,034398
SCO3869	-0,437	-0,726	-0,518	-0,355	-0,168	0,061013	0,000445	0,01067	0,155901	0,560696
SCO3905	0,186	2,02	0,975	-0,045	-0,359	0,956449	0,000019	0,019907	0,967556	0,558302
SCO3918	-0,099	-0,012	-0,189	-0,531	-1,307	0,999071	0,980368	0,623912	0,282525	0,00062
SCO3925	0,594	1,519	0,329	-0,152	-0,429	0,158779	0,00003	0,322446	0,815446	0,270532
SCO3926	0,785	2,219	1,472	0,728	-0,671	0,126759	0,000004	0,000964	0,16355	0,13939
SCO3927	-0,172	-0,473	-0,257	-0,026	-0,004	0,392725	0,000449	0,04162	0,934841	0,992282
SCO3933	0,03	-0,067	0,055	0,403	1,537	0,999071	0,90204	0,910585	0,515031	0,000299
SCO3935	0,193	0,128	0,604	0,904	2,257	0,975232	0,846203	0,21469	0,138038	0,000045
SCO3971	0,456	0,482	0,395	0,246	0,081	0,008215	0,001989	0,011165	0,221691	0,779577
SCO3972	-0,083	0,172	0,342	0,599	0,149	0,96958	0,445823	0,077239	0,007581	0,634889
SCO3975	0,036	0,498	-0,145	-0,509	-1,493	0,999071	0,135662	0,682542	0,242616	0,000043
SCO3988	-0,126	-0,228	-1,773	-0,296	-0,281	0,999071	0,75268	0,003508	0,787385	0,804113
SCO3989	-0,225	-1,114	-0,183	-0,228	0,505	0,859102	0,001619	0,623291	0,704466	0,199197
SCO3997	-0,125	-0,434	-0,708	0,018	0,078	0,933845	0,082974	0,005765	0,977878	0,891613
SCO3999	-0,607	-0,813	-0,274	0,58	1,363	0,088278	0,006334	0,36325	0,102266	0,000042
SCO4001	0,21	-0,067	0,753	1,26	0,405	0,910676	0,897005	0,041225	0,002975	0,410058
SCO4008	0,037	-0,032	0,55	0,145	0,27	0,999071	0,904984	0,006803	0,659088	0,234489
SCO4010	0,77	0,807	0,396	0,563	0,23	0,025923	0,008152	0,188424	0,134068	0,628709
SCO4027	1,827	1,758	2,644	3,001	2,697	0,000008	0,000005	0	0	0
SCO4028	1,757	1,367	1,544	1,785	1,598	0,000001	0,00001	0,000003	0,000001	0,000002
SCO4029	0,486	0,097	0,329	0,371	0,481	0,012361	0,638559	0,051137	0,06737	0,007324
SCO4033	-0,239	-0,661	-0,078	-0,316	-0,135	0,603338	0,005021	0,76922	0,340149	0,748217
SCO4034	-0,097	0,94	0,34	-0,081	-0,872	0,96444	0,000118	0,12835	0,863864	0,000378
SCO4035	0,373	0,74	-0,049	-0,181	-0,407	0,393881	0,008904	0,8875	0,717302	0,206223
SCO4055	0,113	2,936	2,629	1,235	1,201	0,999071	0,000001	0,000009	0,02898	0,01913
SCO4057	1,556	3,817	1,054	0,334	0,298	0,013587	0	0,053797	0,744487	0,777628
SCO4076	0,183	0,721	0,293	0,209	0,269	0,815778	0,004909	0,246911	0,615176	0,41946
SCO4080	1,124	2,11	-0,081	0,172	-0,725	0,242449	0,003137	0,927528	0,918955	0,438607
SCO4092	-0,241	-0,346	-0,112	0,016	0,082	0,096471	0,004151	0,3558	0,960062	0,673848
SCO4096	0,018	0,989	-0,121	0,361	-0,313	0,999071	0,001802	0,729529	0,438116	0,454036
SCO4097	0,15	0,077	-0,116	-0,021	-0,452	0,627964	0,678916	0,465399	0,958424	0,004423
SCO4103	0,087	0,149	0,657	0,353	0,012	0,974729	0,562078	0,004262	0,222678	0,984146
SCO4108	-0,411	0,993	0,295	0,177	-0,496	0,509377	0,005972	0,427614	0,800163	0,233706
SCO4109	-0,438	0,197	-0,245	-0,327	-0,859	0,152152	0,471153	0,312858	0,337745	0,000768
SCO4117	0,127	-0,073	-0,541	0,101	-0,372	0,749662	0,7034	0,001312	0,714607	0,020862
SCO4119	0,477	0,569	0,373	0,268	-0,053	0,005166	0,000377	0,015177	0,168407	0,879349
SCO4125	-0,243	-0,148	-1,033	-0,376	-0,139	0,704834	0,652489	0,00062	0,337043	0,793722
SCO4134	0,453	0,463	0,267	0,203	0,304	0,015487	0,005675	0,098888	0,406171	0,087376
SCO4152	0,182	0,013	0,874	0,883	1,612	0,975256	0,984021	0,054544	0,121226	0,001054
SCO4156	0,213	0,107	0,309	0,337	0,418	0,308264	0,523216	0,031118	0,044312	0,005625
SCO4162	0,228	0,236	0,445	0,358	0,245	0,214075	0,092521	0,002311	0,021736	0,096297
SCO4163	0,275	0,33	0,246	0,443	1,031	0,720314	0,34271	0,455304	0,319056	0,001973
SCO4174	-0,512	-0,981	-1,087	-0,861	-0,585	0,315553	0,005755	0,003508	0,032902	0,131262
SCO4209	0,145	-0,439	-0,167	0,262	0,591	0,771327	0,0175	0,376757	0,310722	0,002184
SCO4213	-0,075	-0,041	-0,632	-0,849	-1,446	0,999071	0,943841	0,108517	0,074249	0,000744
SCO4215	-0,212	-0,354	-0,558	-0,184	0,107	0,484452	0,047765	0,003062	0,506409	0,731183
SCO4218	-0,148	1,641	0,53	0,161	-0,044	0,99205	0,000726	0,257726	0,872088	0,972637
SCO4219	-0,03	0,897	0,912	0,035	0,111	0,999071	0,002214	0,00279	0,964487	0,860096
SCO4224	-0,132	-0,726	0,1	-0,01	0,057	0,92939	0,004962	0,726045	0,988433	0,930579
SCO4225	-0,915	-1,446	-0,215	-0,19	-0,089	0,222417	0,009642	0,731602	0,872275	0,953585
SCO4237	0,425	1,225	0,183	0,236	-0,346	0,647227	0,005733	0,708195	0,777104	0,605935
SCO4238	0,528	0,97	-0,057	-0,037	-0,416	0,089844	0,000329	0,854578	0,956408	0,144614
SCO4239	0,805	1,629	0,472	0,722	-1,065	0,115198	0,000201	0,252662	0,17183	0,012858
SCO4242	-1,514	-1,835	-0,449	0,008	0,188	0,000001	0	0,052959	0,990051	0,606195
SCO4244	-1,856	-1,714	-0,587	-0,219	0,194	0	0	0,007992	0,509218	0,518675
SCO4245	-2,292	-1,802	-0,702	-0,346	0,362	0,000006	0,00005	0,076622	0,603005	0,532223
SCO4246	-2,242	-1,793	-0,663	-0,326	0,256	0	0,000004	0,040498	0,526687	0,614712
SCO4247	-2,553	-2,066	-0,678	-0,455	0,478	0,000049	0,000216	0,197047	0,592047	0,518087
SCO4248	-2,417	-1,879	-0,587	-0,332	0,344	0,000002	0,00002	0,127893	0,604938	0,54343
SCO4251	-2,806	-2,174	-0,557	-0,285	0,128	0	0	0,098045	0,614142	0,867514
SCO4252	-2,778	-1,903	-0,648	-0,533	0,402	0,000007	0,000287	0,189501	0,488864	0,59173
SCO4253	-2,263	-1,931	-0,409	-0,141	0,328	0	0	0,120447	0,783381	0,313112
SCO4254	-1,353	-0,471	-0,458	0,06	-0,064	0,000175	0,144508	0,134801	0,938689	0,938203
SCO4255	-2,276	-1,874	-0,38	-0,157	0,779	0	0	0,18782	0,775193	0,009861
SCO4256	-2,418	-1,816	-0,866	-0,712	0,158	0,000107	0,000947	0,096389	0,34826	0,900952
SCO4257	-2,086	-2,019	-0,891	-0,501	0,01	0	0	0,000775	0,083428	0,989714
SCO4258	-2,144	-1,858	-0,54	-0,369	0,244	0	0	0,056277	0,382673	0,569084
SCO4259	-0,758	-1,046	-0,412	-0,151	0,344	0,000168	0,000001	0,017174	0,588356	0,059259
SCO4260	-1,624	-1,422	-0,576	-0,085	0,336	0,000001	0,000002	0,020969	0,874513	0,256686
