gene	logFC	FDR	add_variable
SCO7197	8,0	0	bldD_scoe
SCO7251	4,1	0	bldD_scoe
SCO7261	2,0	0	bldD_scoe
SCO7383	2,4	0	bldD_scoe
SCO7417	-3,0	0	bldD_scoe
SCO7421	-10,0	0	bldD_scoe
SCO7449	4,5	0	bldD_scoe
SCO7463	-3,0	0	bldD_scoe
SCO7464	-6,0	0	bldD_scoe
SCO7465	-5,0	0	bldD_scoe
SCO7466	-5,0	0	bldD_scoe
SCO7467	-6,0	0	bldD_scoe
SCO7469	4,7	0	bldD_scoe
SCO7470	5,5	0	bldD_scoe
SCO7471	12,7	0	bldD_scoe
SCO7472	9,4	0	bldD_scoe
SCO7473	11,3	0	bldD_scoe
SCO7474	3,6	0	bldD_scoe
SCO7475	6,0	0	bldD_scoe
SCO7510	-4,0	0	bldD_scoe
SCO7638	-21,0	0	bldD_scoe
SCO7657	-44,0	0	bldD_scoe
SCO7658	-3,0	0	bldD_scoe
SCO7676	5,4	0	bldD_scoe
SCO7677	27,0	0	bldD_scoe
SCO7678	5,8	0	bldD_scoe
SCO7679	2,8	0	bldD_scoe
SCO7680	2,2	0	bldD_scoe
SCO7682	5,7	0	bldD_scoe
SCO7727	2,2	0	bldD_scoe
