gene	logFC	FDR
SVEN_4962	0,23	0,4257391
SVEN_3616	0,23	0,453745
SVEN_6359	0,23	0,4843277
SVEN_3091	0,23	0,4976418
SVEN_1233	0,23	0,501378
SVEN_7359	0,23	0,5278196
SVEN_2246	0,23	0,5488158
SVEN_4913	0,23	0,5706674
SVEN_5928	0,23	0,5500679
SVEN_7093	0,23	0,5709954
SVEN_6416	0,23	0,6337057
SVEN_6336	0,23	0,6517029
SVEN_0607	0,23	0,6585469
SVEN_4659	0,23	0,711056
SVEN_6633	0,23	0,8040606
SVEN_4460	0,22	0,002941442
SVEN_5471	0,22	0,009729967
SVEN_3909	0,22	0,01346908
SVEN_5765	0,22	0,03017237
SVEN_5479	0,22	0,0302497
SVEN_1846	0,22	0,03040013
SVEN_3892	0,22	0,0318995
SVEN_0870	0,22	0,03203436
SVEN_t16	0,22	0,03594549
SVEN_5854	0,22	0,03906592
SVEN_2192	0,22	0,04723815
SVEN_0073	0,22	0,04811171
SVEN_1783	0,22	0,05079041
SVEN_6671	0,22	0,05113933
SVEN_2357	0,22	0,05423333
SVEN_6714	0,22	0,0705088
SVEN_2692	0,22	0,0837961
SVEN_6496	0,22	0,08635174
SVEN_1276	0,22	0,0871443
SVEN_6415	0,22	0,09461245
SVEN_4559	0,22	0,09710743
SVEN_6357	0,22	0,1015473
SVEN_0060	0,22	0,1093001
SVEN_4014	0,22	0,1336892
SVEN_5336	0,22	0,1354103
SVEN_3759	0,22	0,1480113
SVEN_4057	0,22	0,1543169
SVEN_6117	0,22	0,1567222
SVEN_0157	0,22	0,1684458
SVEN_2436	0,22	0,1779613
SVEN_6163	0,22	0,1901679
SVEN_5245	0,22	0,197741
SVEN_6016	0,22	0,2288993
SVEN_0681	0,22	0,2300373
SVEN_5553	0,22	0,2358451
SVEN_5863	0,22	0,2492514
SVEN_0674	0,22	0,2587537
SVEN_0585	0,22	0,2596158
SVEN_4974	0,22	0,2698487
SVEN_6168	0,22	0,2904323
SVEN_6350	0,22	0,2938507
SVEN_5088	0,22	0,3110363
SVEN_1167	0,22	0,3248525
SVEN_4082	0,22	0,327182
SVEN_6593	0,22	0,3497296
SVEN_1046	0,22	0,3588343
SVEN_0083	0,22	0,3613744
SVEN_1699	0,22	0,3765629
SVEN_0192	0,22	0,3837426
SVEN_4120	0,22	0,4168718
SVEN_4479	0,22	0,4466627
SVEN_5059	0,22	0,4709346
SVEN_3421	0,22	0,4768697
SVEN_5128	0,22	0,4812129
SVEN_0959	0,22	0,5704465
SVEN_4748	0,22	0,6482636
SVEN_1679	0,22	0,598446
SVEN_6854	0,22	0,624518
SVEN_2247	0,22	0,6403184
SVEN_5873	0,22	0,6483312
SVEN_4754	0,22	0,66115
SVEN_0717	0,22	0,661794
SVEN_1384	0,22	0,678851
SVEN_2711	0,22	0,6839075
SVEN_2485	0,22	0,7233608
SVEN_5124	0,22	0,7374381
SVEN_5704	0,22	0,7589816
SVEN_6242	0,22	0,7994801
SVEN_0482	0,22	0,8078689
SVEN_4079	0,22	0,8225055
SVEN_4858	0,21	0,02110223
SVEN_1824	0,21	0,02221964
SVEN_0644	0,21	0,02349257
SVEN_1605	0,21	0,02363504
SVEN_1908	0,21	0,03431745
SVEN_2602	0,21	0,03585936
SVEN_2724	0,21	0,04184928
SVEN_0851	0,21	0,05077895
SVEN_3864	0,21	0,05406927
SVEN_3422	0,21	0,06521755
SVEN_1979	0,21	0,06801585
SVEN_5186	0,21	0,06866495
SVEN_0338	0,21	0,08970921
SVEN_2406	0,21	0,0906572
SVEN_2569	0,21	0,09526182
SVEN_6974	0,21	0,09975154
SVEN_1577	0,21	0,1128804
SVEN_5177	0,21	0,1264597
SVEN_3696	0,21	0,1360544
SVEN_1238	0,21	0,15369
SVEN_1542	0,21	0,166593
SVEN_2220	0,21	0,1759238
SVEN_1123	0,21	0,1794952
SVEN_2172	0,21	0,1847593
SVEN_2038	0,21	0,1850569
SVEN_4905	0,21	0,1865314
SVEN_0029	0,21	0,1891854
SVEN_3332	0,21	0,1899909
SVEN_6819	0,21	0,202363
SVEN_4217	0,21	0,2124539
SVEN_0051	0,21	0,2354486
SVEN_0108	0,21	0,2443523
SVEN_3094	0,21	0,2526149
SVEN_4975	0,21	0,2834105
SVEN_3814	0,21	0,3035398
SVEN_1257	0,21	0,3071928
SVEN_0597	0,21	0,3073802
SVEN_3286	0,21	0,353872
SVEN_6181	0,21	0,3661605
SVEN_1180	0,21	0,4370983
SVEN_4238	0,21	0,4411803
SVEN_4927	0,21	0,4749815
SVEN_0325	0,21	0,4779618
SVEN_1881	0,21	0,4840535
SVEN_6334	0,21	0,5724056
SVEN_6243	0,21	0,5786352
SVEN_6498	0,21	0,6025299
SVEN_7246	0,21	0,6058766
SVEN_5033	0,21	0,6909557
SVEN_7361	0,21	0,7391548
SVEN_0673	0,21	0,739824
SVEN_7110	0,21	0,7768917
SVEN_1461	0,21	0,7929077
SVEN_0076	0,21	0,8001007
SVEN_0497	0,21	0,8364243
SVEN_4894	0,21	0,8369832
SVEN_3026	0,2	0,004890389
SVEN_2417	0,2	0,007567686
SVEN_2428	0,2	0,01298171
SVEN_5425	0,2	0,02559779
SVEN_1936	0,2	0,02855747
SVEN_2489	0,2	0,0307833
SVEN_1871	0,2	0,03610938
SVEN_4673	0,2	0,0430478
SVEN_4095	0,2	0,06174898
SVEN_4580	0,2	0,06967007
SVEN_3578	0,2	0,07010188
SVEN_6418	0,2	0,0738257
SVEN_5750	0,2	0,09648858
SVEN_1950	0,2	0,1222096
SVEN_6996	0,2	0,12316
SVEN_0769	0,2	0,1300351
SVEN_1177	0,2	0,1309573
SVEN_5764	0,2	0,1383015
SVEN_5936	0,2	0,1508547
SVEN_4684	0,2	0,1782376
SVEN_6989	0,2	0,1814249
SVEN_0470	0,2	0,1851145
SVEN_5445	0,2	0,1858415
SVEN_3276	0,2	0,193704
SVEN_3675	0,2	0,2053132
SVEN_5081	0,2	0,2176135
SVEN_0952	0,2	0,2216427
SVEN_6351	0,2	0,2219206
SVEN_5280	0,2	0,233059
SVEN_6133	0,2	0,2407859
SVEN_3354	0,2	0,2483693
SVEN_6136	0,2	0,2519258
SVEN_6347	0,2	0,2540592
SVEN_3224	0,2	0,2573078
SVEN_2777	0,2	0,2688893
SVEN_2065	0,2	0,2797534
SVEN_4842	0,2	0,2798922
SVEN_5334	0,2	0,2914931
SVEN_6225	0,2	0,3146462
SVEN_4997	0,2	0,3179256
SVEN_2889	0,2	0,3350347
SVEN_1026	0,2	0,3392749
SVEN_3011	0,2	0,3448867
SVEN_4860	0,2	0,3538604
SVEN_0859	0,2	0,3848674
SVEN_0030	0,2	0,3918314
SVEN_1222	0,2	0,4125558
SVEN_7151	0,2	0,4161524
SVEN_5924	0,2	0,441157
SVEN_2505	0,2	0,4416157
SVEN_4202	0,2	0,4507811
SVEN_2156	0,2	0,4592209
SVEN_6166	0,2	0,4765441
SVEN_4628	0,2	0,5324933
SVEN_1348	0,2	0,5609812
SVEN_1856	0,2	0,5764363
SVEN_3445	0,2	0,6192626
SVEN_0399	0,2	0,6111702
SVEN_5678	0,2	0,6152303
SVEN_3524	0,2	0,6432407
SVEN_0348	0,2	0,6568134
SVEN_6037	0,2	0,7338952
SVEN_6352	0,2	0,7485065
SVEN_0622	0,2	0,7834763
SVEN_3848	0,19	0,006435714
SVEN_2743	0,19	0,0196426
SVEN_2448	0,19	0,02359278
SVEN_3766	0,19	0,02555643
SVEN_5206	0,19	0,03275457
SVEN_2182	0,19	0,0344182
SVEN_4436	0,19	0,04062876
SVEN_5708	0,19	0,04092334
SVEN_1832	0,19	0,04210903
SVEN_2320	0,19	0,04453693
SVEN_2790	0,19	0,04546365
SVEN_4613	0,19	0,05361205
SVEN_0770	0,19	0,05780662
SVEN_3429	0,19	0,05991691
SVEN_1170	0,19	0,06697631
SVEN_5424	0,19	0,06834726
SVEN_0947	0,19	0,08999081
SVEN_2695	0,19	0,09156824
SVEN_0742	0,19	0,09309187
SVEN_1520	0,19	0,1009731
SVEN_1538	0,19	0,1045305
SVEN_1449	0,19	0,1053672
SVEN_3539	0,19	0,1155694
SVEN_5283	0,19	0,119626
SVEN_2169	0,19	0,1248426
SVEN_7392	0,19	0,1380947
SVEN_6380	0,19	0,1418063
SVEN_0643	0,19	0,1422048
SVEN_5344	0,19	0,1434638
SVEN_6024	0,19	0,1563711
SVEN_4169	0,19	0,1738675
SVEN_4803	0,19	0,1941812
SVEN_0653	0,19	0,1990214
SVEN_0183	0,19	0,199685
SVEN_3555	0,19	0,2169123
SVEN_4538	0,19	0,2423847
SVEN_4925	0,19	0,2992571
SVEN_0577	0,19	0,3095517
SVEN_2524	0,19	0,3455058
SVEN_6818	0,19	0,3579717
SVEN_3515	0,19	0,3618098
SVEN_5319	0,19	0,3696022
SVEN_2048	0,19	0,3792025
SVEN_6626	0,19	0,4060451
SVEN_6560	0,19	0,44621
SVEN_6271	0,19	0,4622343
SVEN_7069	0,19	0,4624704
SVEN_2909	0,19	0,4833598
SVEN_0563	0,19	0,4873437
SVEN_2685	0,19	0,4914805
SVEN_6127	0,19	0,4929252
SVEN_5506	0,19	0,4976096
SVEN_4093	0,19	0,517651
SVEN_1296	0,19	0,5802342
SVEN_6172	0,19	0,5949745
SVEN_3540	0,19	0,5975806
SVEN_5592	0,19	0,6412465
SVEN_t67	0,19	0,6429881
SVEN_3156	0,19	0,6791193
SVEN_0269	0,19	0,6876139
SVEN_6850	0,19	0,7017924
SVEN_6500	0,19	0,6035734
SVEN_2151	0,19	0,6423201
SVEN_0451	0,19	0,7043421
SVEN_1414	0,19	0,7400313
SVEN_5202	0,19	0,7425587
SVEN_7173	0,19	0,7705949
SVEN_0077	0,19	0,8034549
SVEN_4583	0,19	0,8056384
SVEN_7086	0,19	0,8068398
SVEN_6045	0,19	0,817552
SVEN_6266	0,19	0,8240908
SVEN_7451	0,19	0,8293509
EBG00001120644	0,19	0,8370978
SVEN_4650	0,19	0,8529681
SVEN_5243	0,18	0,02253997
SVEN_5730	0,18	0,02640449
SVEN_2321	0,18	0,03152827
SVEN_2021	0,18	0,0343314
SVEN_4137	0,18	0,03473955
SVEN_2462	0,18	0,0429282
SVEN_0458	0,18	0,06187229
SVEN_2598	0,18	0,07747762
SVEN_5193	0,18	0,08331433
SVEN_1524	0,18	0,08533849
SVEN_6385	0,18	0,1039319
SVEN_3743	0,18	0,1116515
SVEN_0307	0,18	0,115101
SVEN_2775	0,18	0,1182844
SVEN_4056	0,18	0,1472372
SVEN_5492	0,18	0,1531589
SVEN_3112	0,18	0,1548956
SVEN_5731	0,18	0,1607077
SVEN_2997	0,18	0,2205004
SVEN_5417	0,18	0,2419969
SVEN_6120	0,18	0,2602384
SVEN_1869	0,18	0,2705571
SVEN_1866	0,18	0,2737633
SVEN_3073	0,18	0,3029464
SVEN_2026	0,18	0,3063337
SVEN_0875	0,18	0,3161475
SVEN_2255	0,18	0,3178608
SVEN_2678	0,18	0,3418841
SVEN_7448	0,18	0,3698988
SVEN_6321	0,18	0,3942638
SVEN_7434	0,18	0,3949792
SVEN_2062	0,18	0,395043
SVEN_6354	0,18	0,3955094
SVEN_2825	0,18	0,4184505
SVEN_4272	0,18	0,4281241
SVEN_5631	0,18	0,4592628
SVEN_2155	0,18	0,4664481
SVEN_0378	0,18	0,4768222
SVEN_1528	0,18	0,5029882
SVEN_6335	0,18	0,5686437
SVEN_6421	0,18	0,5788543
SVEN_0061	0,18	0,5850377
SVEN_7090	0,18	0,6185871
SVEN_4023	0,18	0,6249084
SVEN_6494	0,18	0,6398696
SVEN_0946	0,18	0,6460612
SVEN_0220	0,18	0,6514031
SVEN_0397	0,18	0,7027599
SVEN_6174	0,18	0,7433295
SVEN_1176	0,18	0,7727661
SVEN_2129	0,18	0,7735967
SVEN_6703	0,18	0,7906313
SVEN_0199	0,18	0,791124
SVEN_2159	0,18	0,7969826
SVEN_7245	0,18	0,8567139
SVEN_3069	0,18	0,8609121
SVEN_1002	0,18	0,8672807
SVEN_4737	0,17	0,01316403
SVEN_5743	0,17	0,02065848
SVEN_5729	0,17	0,0243311
SVEN_1598	0,17	0,02890618
SVEN_4851	0,17	0,04203413
SVEN_5971	0,17	0,05936584
SVEN_4190	0,17	0,07118226
SVEN_1718	0,17	0,07197087
SVEN_5520	0,17	0,07790191
SVEN_2358	0,17	0,07829714
SVEN_5746	0,17	0,07866956
SVEN_3676	0,17	0,08635838
SVEN_4875	0,17	0,09142131
SVEN_5903	0,17	0,1013407
SVEN_1784	0,17	0,1017497
SVEN_2716	0,17	0,1021543
SVEN_4623	0,17	0,1088712
SVEN_4044	0,17	0,1166394
SVEN_4539	0,17	0,1223022
SVEN_6883	0,17	0,1255825
SVEN_5818	0,17	0,1285484
SVEN_2165	0,17	0,1314188
SVEN_4497	0,17	0,148351
SVEN_6997	0,17	0,1607135
SVEN_0522	0,17	0,1739314
SVEN_3767	0,17	0,1851987
SVEN_4499	0,17	0,1963656
SVEN_4115	0,17	0,1990384
SVEN_4301	0,17	0,2038564
SVEN_6476	0,17	0,2175174
SVEN_5338	0,17	0,2448008
SVEN_5497	0,17	0,2454448
SVEN_2427	0,17	0,2543629
SVEN_1240	0,17	0,2893278
SVEN_6409	0,17	0,2982737
SVEN_3365	0,17	0,3101662
SVEN_5073	0,17	0,3105385
SVEN_0116	0,17	0,3679838
SVEN_7274	0,17	0,4170937
SVEN_0860	0,17	0,4315676
SVEN_7391	0,17	0,440328
SVEN_7367	0,17	0,4643205
SVEN_2638	0,17	0,4644089
SVEN_1341	0,17	0,5230877
SVEN_2914	0,17	0,5320549
SVEN_6847	0,17	0,5427968
SVEN_6071	0,17	0,5448084
SVEN_6518	0,17	0,5501336
SVEN_5748	0,17	0,560835
SVEN_5706	0,17	0,5689385
SVEN_2265	0,17	0,6273588
SVEN_0187	0,17	0,6605103
SVEN_2187	0,17	0,6667411
SVEN_7008	0,17	0,7008598
SVEN_0712	0,17	0,6728501
SVEN_2138	0,17	0,7936375
SVEN_0025	0,17	0,7974794
SVEN_0781	0,17	0,8498863
SVEN_6236	0,17	0,8530067
SVEN_0807	0,17	0,8645743
SVEN_0184	0,16	0,04943391
SVEN_3177	0,16	0,05083701
SVEN_4852	0,16	0,05287434
SVEN_1089	0,16	0,06347432
SVEN_6050	0,16	0,09729886
SVEN_5328	0,16	0,1142255
SVEN_4725	0,16	0,1178966
SVEN_1587	0,16	0,1310734
SVEN_4189	0,16	0,1333643
SVEN_4341	0,16	0,1367132
SVEN_1709	0,16	0,1395227
SVEN_4610	0,16	0,1578217
SVEN_1867	0,16	0,179108
SVEN_1698	0,16	0,1858158
SVEN_3948	0,16	0,1913723
SVEN_3317	0,16	0,1920432
SVEN_3861	0,16	0,2065576
SVEN_4046	0,16	0,2158713
SVEN_1448	0,16	0,2184562
SVEN_7307	0,16	0,2243651
SVEN_2250	0,16	0,2316393
SVEN_2166	0,16	0,2332592
SVEN_2473	0,16	0,2420096
SVEN_1599	0,16	0,2479363
SVEN_7386	0,16	0,2789231
SVEN_3780	0,16	0,280985
SVEN_6516	0,16	0,2835845
SVEN_1437	0,16	0,2856223
SVEN_6118	0,16	0,294154
SVEN_7281	0,16	0,299133
SVEN_7390	0,16	0,3007512
SVEN_2998	0,16	0,3204995
SVEN_4334	0,16	0,3270383
SVEN_0691	0,16	0,3307358
SVEN_4170	0,16	0,3350853
SVEN_0866	0,16	0,3371084
SVEN_2513	0,16	0,3378097
SVEN_6875	0,16	0,3411292
SVEN_2753	0,16	0,3448308
SVEN_t36	0,16	0,3478375
SVEN_7436	0,16	0,3683892
SVEN_4820	0,16	0,3966763
SVEN_1305	0,16	0,4073968
SVEN_3330	0,16	0,4087983
SVEN_6072	0,16	0,4089552
SVEN_1134	0,16	0,4277795
SVEN_6884	0,16	0,4322238
SVEN_0090	0,16	0,497295
SVEN_0352	0,16	0,5052319
SVEN_1132	0,16	0,5143467
SVEN_6872	0,16	0,5162067
SVEN_5321	0,16	0,5387372
SVEN_4154	0,16	0,5523874
SVEN_6391	0,16	0,5757786
SVEN_6583	0,16	0,588739
SVEN_5655	0,16	0,5976574
SVEN_3310	0,16	0,6392948
SVEN_2105	0,16	0,6642707
SVEN_4244	0,16	0,6975342
SVEN_4882	0,16	0,7028878
SVEN_2566	0,16	0,8060101
SVEN_6724	0,16	0,6874389
SVEN_0558	0,16	0,738891
SVEN_5690	0,16	0,7438721
SVEN_4770	0,16	0,7594986
SVEN_5691	0,16	0,7698363
SVEN_0007	0,16	0,7706893
SVEN_0228	0,16	0,7741543
SVEN_0685	0,16	0,7837299
SVEN_4074	0,16	0,7911243
SVEN_7364	0,16	0,8091522
SVEN_6712	0,16	0,8105953
SVEN_0400	0,16	0,8122172
SVEN_6994	0,16	0,8177455
SVEN_0760	0,16	0,8355498
SVEN_0633	0,16	0,8813842
SVEN_3559	0,15	0,03167612
SVEN_5047	0,15	0,0543188
SVEN_5511	0,15	0,06839814
SVEN_0481	0,15	0,06900618
SVEN_4622	0,15	0,1034899
SVEN_1818	0,15	0,1076151
SVEN_1450	0,15	0,1092246
SVEN_4494	0,15	0,1208771
SVEN_2370	0,15	0,1322742
SVEN_5361	0,15	0,1329739
SVEN_4469	0,15	0,1462377
SVEN_2438	0,15	0,1608347
SVEN_2404	0,15	0,1697522
SVEN_3122	0,15	0,1801377
SVEN_7175	0,15	0,1817324
SVEN_4782	0,15	0,1837495
SVEN_1339	0,15	0,1911051
SVEN_0264	0,15	0,2382538
SVEN_0249	0,15	0,2404041
SVEN_0689	0,15	0,2436855
SVEN_2597	0,15	0,260253
SVEN_1760	0,15	0,2706645
SVEN_3152	0,15	0,2719755
SVEN_6462	0,15	0,2767272
SVEN_6158	0,15	0,2831019
SVEN_5327	0,15	0,2856675
SVEN_6320	0,15	0,3076153
SVEN_5464	0,15	0,3111861
SVEN_6990	0,15	0,3179681
SVEN_6323	0,15	0,3275483
SVEN_1880	0,15	0,3348012
SVEN_6155	0,15	0,3534899
SVEN_2830	0,15	0,3630069
SVEN_6651	0,15	0,3670969
SVEN_4052	0,15	0,3696225
SVEN_3769	0,15	0,3746992
SVEN_1327	0,15	0,3780031
SVEN_1187	0,15	0,3965455
SVEN_0273	0,15	0,4186162
SVEN_t57	0,15	0,4352535
SVEN_2204	0,15	0,440579
SVEN_1353	0,15	0,4665143
SVEN_2805	0,15	0,4698715
SVEN_1691	0,15	0,47375
SVEN_0433	0,15	0,5022625
SVEN_7411	0,15	0,5048364
SVEN_5228	0,15	0,5078802
SVEN_6478	0,15	0,5263875
SVEN_0188	0,15	0,5483278
SVEN_5103	0,15	0,5503593
SVEN_1072	0,15	0,5900547
SVEN_6527	0,15	0,5996559
SVEN_3409	0,15	0,6445421
SVEN_7168	0,15	0,6452869
SVEN_5679	0,15	0,7257898
SVEN_6869	0,15	0,7352131
SVEN_3296	0,15	0,7519567
SVEN_0388	0,15	0,7879455
SVEN_5756	0,15	0,7906
SVEN_6149	0,15	0,8177368
SVEN_7067	0,15	0,8283545
SVEN_6219	0,15	0,8451432
SVEN_6261	0,15	0,889099
SVEN_4857	0,14	0,05599658
SVEN_4840	0,14	0,05765239
SVEN_3737	0,14	0,06300517
SVEN_1539	0,14	0,08447924
SVEN_4344	0,14	0,1002851
SVEN_0894	0,14	0,1024789
SVEN_3372	0,14	0,1143758
SVEN_2180	0,14	0,121116
SVEN_1139	0,14	0,1221685
SVEN_7389	0,14	0,1276085
SVEN_1931	0,14	0,1276625
SVEN_3291	0,14	0,1335358
SVEN_4324	0,14	0,1515223
SVEN_4340	0,14	0,1569651
SVEN_5775	0,14	0,1639094
SVEN_5275	0,14	0,1801987
SVEN_3920	0,14	0,1818925
SVEN_3009	0,14	0,1886356
SVEN_0902	0,14	0,1893068
SVEN_2523	0,14	0,1947746
SVEN_3012	0,14	0,1949825
SVEN_2110	0,14	0,1965471
SVEN_3302	0,14	0,2018755
SVEN_3889	0,14	0,2180432
SVEN_0023	0,14	0,2524882
SVEN_1535	0,14	0,2613669
SVEN_2893	0,14	0,2724187
SVEN_1516	0,14	0,2797729
SVEN_t3	0,14	0,2919151
SVEN_1878	0,14	0,2993691
SVEN_5890	0,14	0,3118315
SVEN_0768	0,14	0,3283292
SVEN_3934	0,14	0,3392164
SVEN_6575	0,14	0,3490841
SVEN_5433	0,14	0,3502867
SVEN_0737	0,14	0,3558802
SVEN_4552	0,14	0,3579305
SVEN_4116	0,14	0,3590961
SVEN_3799	0,14	0,3624968
SVEN_4059	0,14	0,3642911
SVEN_2765	0,14	0,3660007
SVEN_3459	0,14	0,3712262
SVEN_0262	0,14	0,3898425
SVEN_2675	0,14	0,3979839
SVEN_4685	0,14	0,4449976
SVEN_0996	0,14	0,4566015
SVEN_3482	0,14	0,461294
SVEN_5333	0,14	0,4724707
SVEN_0318	0,14	0,4878403
SVEN_7431	0,14	0,4924911
SVEN_0591	0,14	0,5067179
SVEN_4278	0,14	0,5129854
SVEN_0546	0,14	0,528195
SVEN_7323	0,14	0,541728
SVEN_6015	0,14	0,554199
SVEN_4233	0,14	0,5613283
SVEN_6568	0,14	0,5702855
SVEN_3795	0,14	0,6103536
SVEN_2277	0,14	0,6201724
SVEN_0514	0,14	0,6228873
SVEN_1138	0,14	0,6504169
SVEN_1984	0,14	0,6535679
SVEN_6904	0,14	0,6722592
SVEN_4086	0,14	0,6834688
SVEN_2540	0,14	0,718366
SVEN_0827	0,14	0,736502
SVEN_6214	0,14	0,7463718
SVEN_7161	0,14	0,7467769
SVEN_7003	0,14	0,7799527
SVEN_6233	0,14	0,8029566
SVEN_3443	0,14	0,8104854
SVEN_0953	0,14	0,8179022
SVEN_7248	0,14	0,8317883
SVEN_6668	0,14	0,8614407
SVEN_3095	0,13	0,116961
SVEN_4687	0,13	0,129139
SVEN_0682	0,13	0,1341099
SVEN_3634	0,13	0,135627
SVEN_2333	0,13	0,1390711
SVEN_3485	0,13	0,1392009
SVEN_4408	0,13	0,1492225
SVEN_2461	0,13	0,1518516
SVEN_3790	0,13	0,1656487
SVEN_5253	0,13	0,1667358
SVEN_1701	0,13	0,1736744
SVEN_4878	0,13	0,1842035
SVEN_3682	0,13	0,1851547
SVEN_4129	0,13	0,1871937
SVEN_6301	0,13	0,1999571
SVEN_0993	0,13	0,2019922
SVEN_1633	0,13	0,2106024
SVEN_1266	0,13	0,2119875
SVEN_5771	0,13	0,2362505
SVEN_2323	0,13	0,2367683
SVEN_3658	0,13	0,2570795
SVEN_1930	0,13	0,2577165
SVEN_5174	0,13	0,2596631
SVEN_5282	0,13	0,264828
SVEN_4262	0,13	0,2747127
SVEN_0110	0,13	0,2755711
SVEN_4016	0,13	0,2776832
SVEN_0842	0,13	0,2789822
SVEN_1536	0,13	0,3082353
SVEN_4289	0,13	0,3179297
SVEN_1523	0,13	0,3249159
SVEN_0459	0,13	0,3390647
SVEN_7326	0,13	0,3637665
SVEN_3189	0,13	0,3728119
SVEN_0339	0,13	0,4209197
SVEN_4063	0,13	0,435353
SVEN_1834	0,13	0,4424243
SVEN_4543	0,13	0,4558199
SVEN_4241	0,13	0,4709324
SVEN_1017	0,13	0,4742962
SVEN_0047	0,13	0,4770706
SVEN_7062	0,13	0,4945621
SVEN_0460	0,13	0,501669
SVEN_6564	0,13	0,5149364
SVEN_5938	0,13	0,5284863
SVEN_6733	0,13	0,5466161
SVEN_0651	0,13	0,5799159
SVEN_6237	0,13	0,6016345
SVEN_1717	0,13	0,6064295
SVEN_2624	0,13	0,6199198
SVEN_1323	0,13	0,6231706
SVEN_0707	0,13	0,6441866
SVEN_0365	0,13	0,6492474
SVEN_0525	0,13	0,6495121
SVEN_0317	0,13	0,6826655
SVEN_3529	0,13	0,6910558
SVEN_3059	0,13	0,697423
SVEN_6392	0,13	0,7090593
SVEN_5692	0,13	0,7310679
SVEN_2736	0,13	0,7342602
SVEN_2216	0,13	0,7591429
SVEN_3779	0,13	0,77429
SVEN_0581	0,13	0,8072005
SVEN_3986	0,13	0,7993802
SVEN_0013	0,13	0,8013276
SVEN_7009	0,13	0,8328329
SVEN_3774	0,13	0,8355417
SVEN_1684	0,13	0,8397649
SVEN_1318	0,13	0,8492394
SVEN_4642	0,13	0,8775459
SVEN_2101	0,13	0,8854687
SVEN_7135	0,13	0,8962449
SVEN_4919	0,12	0,09852269
SVEN_1486	0,12	0,1206336
SVEN_3660	0,12	0,1293857
SVEN_2322	0,12	0,1530802
SVEN_5072	0,12	0,1556497
SVEN_1388	0,12	0,1574508
SVEN_5363	0,12	0,1596633
SVEN_3661	0,12	0,1596764
SVEN_4828	0,12	0,1633181
SVEN_5823	0,12	0,1635542
SVEN_0797	0,12	0,1636447
SVEN_7394	0,12	0,1666486
SVEN_0289	0,12	0,1841986
SVEN_1597	0,12	0,2076592
SVEN_5341	0,12	0,2081094
SVEN_1237	0,12	0,2144333
SVEN_5362	0,12	0,2154155
SVEN_3701	0,12	0,2188778
SVEN_3579	0,12	0,2214513
SVEN_6270	0,12	0,223048
SVEN_0313	0,12	0,2464332
SVEN_5085	0,12	0,2588349
SVEN_3550	0,12	0,2648433
SVEN_0565	0,12	0,2670446
SVEN_2970	0,12	0,2771218
SVEN_1057	0,12	0,2797986
SVEN_4956	0,12	0,2832341
SVEN_4161	0,12	0,2898536
SVEN_1993	0,12	0,2933651
SVEN_2458	0,12	0,2949639
SVEN_2241	0,12	0,298183
SVEN_2663	0,12	0,2985133
SVEN_2359	0,12	0,3181111
SVEN_4695	0,12	0,3197081
SVEN_6551	0,12	0,3349036
SVEN_0871	0,12	0,3393397
SVEN_0586	0,12	0,3516551
SVEN_1412	0,12	0,3725866
SVEN_6630	0,12	0,374946
SVEN_6584	0,12	0,3830176
SVEN_3503	0,12	0,3854472
SVEN_2499	0,12	0,3859783
SVEN_2601	0,12	0,3880116
SVEN_5586	0,12	0,3927641
SVEN_1664	0,12	0,3975271
SVEN_5757	0,12	0,3978298
SVEN_6515	0,12	0,4193996
SVEN_4715	0,12	0,4273987
SVEN_1872	0,12	0,4411855
SVEN_1239	0,12	0,4711776
SVEN_0639	0,12	0,4785676
SVEN_2688	0,12	0,4892978
SVEN_3813	0,12	0,4995384
SVEN_7414	0,12	0,5027734
SVEN_3088	0,12	0,5068187
SVEN_0783	0,12	0,5165054
SVEN_7332	0,12	0,5173497
SVEN_2990	0,12	0,5320929
SVEN_3085	0,12	0,5362121
SVEN_1966	0,12	0,5476137
SVEN_1847	0,12	0,5489325
SVEN_5822	0,12	0,5495738
SVEN_2217	0,12	0,5630685
SVEN_2644	0,12	0,5776454
SVEN_0864	0,12	0,6183741
SVEN_1469	0,12	0,6196538
SVEN_3289	0,12	0,6216641
SVEN_0366	0,12	0,6278969
SVEN_6833	0,12	0,6287872
SVEN_1961	0,12	0,6426103
SVEN_0413	0,12	0,6517836
SVEN_7159	0,12	0,6560103
SVEN_5423	0,12	0,6603689
SVEN_5694	0,12	0,6758258
SVEN_3236	0,12	0,6972605
SVEN_2605	0,12	0,6975522
SVEN_5442	0,12	0,7046879
SVEN_2424	0,12	0,7170238
SVEN_3331	0,12	0,7226098
SVEN_3303	0,12	0,7355327
SVEN_3618	0,12	0,7398465
SVEN_3940	0,12	0,7456944
SVEN_5141	0,12	0,7456951
SVEN_1636	0,12	0,7556548
SVEN_4712	0,12	0,7661383
SVEN_0403	0,12	0,770762
SVEN_6737	0,12	0,7865883
SVEN_6272	0,12	0,7887618
SVEN_3092	0,12	0,8214817
SVEN_6868	0,12	0,8255648
SVEN_5929	0,12	0,8346516
SVEN_7064	0,12	0,836808
SVEN_6534	0,12	0,8623801
SVEN_1364	0,12	0,8968723
SVEN_5583	0,12	0,8980178
SVEN_3039	0,12	0,9224348
SVEN_3646	0,11	0,117586
SVEN_3375	0,11	0,1326745
