gene	logFC_24h	logFC_30h	logFC_36h	logFC_42h	logFC_54h	FDR									
SCO1926	0,49	0,59	0,76	0,45	0,48	0,0243									
SCO1934	0,43	0,8	0,79	0,82	0,84	0,4238									
SCO1943	0,52	0,76	0,54	0,53	0,47	0,0213									
SCO1955	0,44	1,32	1,45	2	1,14	1,2242									
SCO1978	0,53	1,31	1,23	4,36	1,79	0,0033									
SCO1980	0,43	0,61	0,98	0,65	0,62	0,1317									
SCO1982	0,64	1,15	0,97	1,03	2,01	0,7197						binding	protein		
SCO2008	0,55	0,83	0,43	0,37	0,37	0,0045						transport	permease		
SCO2009	0,63	0,91	0,48	0,67	0,64	0,1									
SCO2025	1,34	1,51	0,87	1,73	2,19	0,0496									
SCO2026	1,17	1,43	0,73	1,63	2,19	0,0813									
SCO2041	0,51	0,64	0,85	2,01	0,84	1,1979									
SCO2078	0,38	0,58	0,52	0,34	0,45	0,0008									
SCO2097	0,45	0,72	0,87	0,77	0,76	0,2366									
SCO2113	1,63	3,31	0,76	1,5	1,41	0,007									
SCO2141	0,45	1,15	1	1,44	0,77	0,9741									
SCO2153	0,83	1,11	1,21	1,8	2,11	0,0995									
SCO2161	0,48	0,62	0,6	0,35	0,42	0,0083									
SCO2167	0,45	0,82	0,96	0,9	0,74	0,6207									
SCO2172	0,5	0,74	0,74	0,58	0,47	0,0322									
SCO2195	0,78	1,2	0,42	0,58	0,6	0,1804									
SCO2199	0,45	0,98	0,72	1,47	1,71	0,8615									
SCO2207	0,37	0,73	0,57	0,43	0,46	0,0069									
SCO2209	0,48	0,84	0,81	0,94	1,08	0,4695									
SCO2210	2,82	3,55	0,43	1,93	1,5	0,0005									
SCO2211	2,51	2,88	0,83	1,68	1,38	0,0009									
SCO2212	0,36	0,54	0,41	0,28	0,22	0									
SCO2213	0,45	0,52	0,76	0,62	0,41	0,0193									
SCO2217	0,52	0,87	0,42	0,28	0,32	0									
SCO2247	0,39	0,77	1,03	0,87	0,8	0,5545									
SCO2260	0,4	0,78	0,76	1,2	1,19	0,5184									
SCO2261	0,48	0,79	0,63	3,61	2,17	0,0119									
SCO2288	1,33	1,94	1,28	1,82	2,01	0,0054									
SCO2314	0,47	0,91	1,04	0,93	1,1	1,0254									
SCO2354	0,43	0,83	0,86	1,2	1,36	0,4699									
SCO2357	0,48	0,71	0,86	0,54	0,6	0,1167									
SCO2367	0,49	0,86	0,7	0,58	0,62	0,1191									
SCO2368	0,48	0,83	0,78	0,62	0,6	0,1381									
SCO2389	0,49	0,71	0,58	0,47	0,83	0,0665									
SCO2447	0,5	0,67	1,18	0,86	0,88	0,7015									
SCO2451	1,48	1,78	1,36	2,29	2,7	0,0009									
SCO2478	3,11	1,95	1,29	1	1,22	0,0162									
SCO2486	2	2,48	0,66	1,71	1,32	0,0013						NirB			
SCO2487	2,27	3,64	0,47	1,67	1,07	0,0007						NirC			
SCO2488	1,63	3,25	0,67	2,45	2,18	0,0003									
SCO2489	1,36	2,31	0,63	1,08	0,76	0,0376									
SCO2504	0,56	0,74	0,74	0,45	0,43	0,0341									
SCO2505	0,14	0,12	0,76	0,13	0,13	0									
SCO2506	0,22	0,3	0,78	0,24	0,25	0,0003									
SCO2507	0,32	0,33	0,92	0,27	0,29	0,0029									
SCO2512	0,62	0,53	1,07	0,41	0,53	0,0767									
SCO2513	0,4	0,51	0,93	0,44	0,34	0,0176									
SCO2514	0,51	0,5	0,8	0,31	0,22	0,0037									
SCO2550	0,46	0,89	0,94	0,96	1,03	0,7674									
SCO2554	0,5	0,78	0,87	0,76	0,67	0,3948									
SCO2555	0,47	0,67	0,72	0,77	0,7	0,1445									
SCO2573	0,44	0,79	0,68	0,53	0,53	0,0245									
SCO2574	0,4	0,71	0,41	0,44	0,41	0,0017									
