logFC	FDR	gene	add_variable
-0,2242	0,319087	SCO2703	liquid culture
2,2068	2,00E-06	SCO5268	liquid culture
0,962	1,20E-05	SCO7261	liquid culture
3,8812	0	SCO5605	liquid culture
2,9944	0	SCO1543	liquid culture
-0,154	0,488432	SCO6149	liquid culture
3,2042	0	SCO1160	liquid culture
1,9735	0	SCO4883	liquid culture
1,4709	0	SCO2236	liquid culture
3,9554	0	SCO5511	liquid culture
1,925	0	SCO4348	liquid culture
2,8572	0	SCO1157	liquid culture
-1,3102	0	SCO3481	liquid culture
-0,2379	0,209542	SCO1344	liquid culture
3,8314	0	SCO5803	liquid culture
4,7906	0	SCO5390	liquid culture
2,1594	0	SCO1451	liquid culture
1,1865	1,00E-05	SCO0931	liquid culture
3,4313	0	SCO4568	liquid culture
1,3654	1,00E-04	SCO0725	liquid culture
0,2635	0,287727	SCO6831	liquid culture
0,0504	0,829086	SCO6569	liquid culture
1,6414	8,00E-06	SCO0919	liquid culture
4,4238	0	SCO2055	liquid culture
6,5109	0	SCO6932	liquid culture
-0,5486	0,000577	SCO6160	liquid culture
4,2398	0	SCO0401	liquid culture
2,0986	0	SCO7771	liquid culture
0,8014	0,000823	SCO1030	liquid culture
2,1804	0	SCO6996	liquid culture
-0,0887	0,696223	SCO4057	liquid culture
3,1363	0	SCO1589	liquid culture
3,5057	0	SCO0398	liquid culture
0,3819	0,025377	SCO6324	liquid culture
-1,2979	1,00E-06	SCO5965	liquid culture
3,8438	0	SCO0386	liquid culture
-1,2108	1,40E-05	SCO3483	liquid culture
2,2005	0	SCO4545	liquid culture
2,5723	0	SCO6797	liquid culture
1,4244	2,00E-06	SCO4301	liquid culture
1,629	4,00E-06	SCO7079	liquid culture
0,379	0,018701	SCO6173	liquid culture
0,1947	0,274869	SCO5315	liquid culture
1,1727	0,003619	SCO7040	liquid culture
2,4332	0	SCO0974	liquid culture
2,3656	2,10E-05	SCO6997	liquid culture
3,5144	0	SCO2527	liquid culture
3,1285	0	SCO6079	liquid culture
2,1418	0	SCO0588	liquid culture
1,7008	1,00E-05	SCO2575	liquid culture
1,0604	1,80E-05	SCO2035	liquid culture
4,0983	0	SCO5444	liquid culture
