logFC	FDR	gene	add_variable
-0,9328	9,00E-06	SCO2325	liquid culture
0,4565	0,011485	SCO2187	liquid culture
-1,1806	0,00019	SCO2920	liquid culture
-1,1797	3,00E-06	SCO3698	liquid culture
-0,6035	0,003116	SCO2484	liquid culture
-0,1366	0,523575	SCO0471	liquid culture
-8,00E-04	0,997391	SCO3736	liquid culture
-0,1631	0,398808	SCO4612	liquid culture
-1,9326	0	SCO4936	liquid culture
-0,9177	9,30E-05	SCO6587	liquid culture
-0,0435	0,852776	SCO1244	liquid culture
-0,6391	6,50E-05	SCO3727	liquid culture
0,445	0,005714	SCO2069	liquid culture
-0,9682	6,80E-05	SCO1454	liquid culture
-0,2796	0,145442	SCO3690	liquid culture
-0,0752	0,764351	SCO3970	liquid culture
-0,7524	0,00084	SCO3664	liquid culture
-0,6166	0,004879	SCO4342	liquid culture
-0,9124	0,002129	SCO0085	liquid culture
-0,1258	0,561133	SCO1545	liquid culture
-0,0929	0,693846	SCO6215	liquid culture
0,4803	0,004123	SCO5753	liquid culture
0,3872	0,073137	SCO4015	liquid culture
-1,59	1,00E-06	SCO2149	liquid culture
-0,8368	0,000103	SCO4520	liquid culture
-0,1848	0,350124	SCO2627	liquid culture
-0,7433	0,000665	SCO3414	liquid culture
-1,1387	1,70E-05	SCO5568	liquid culture
-0,9246	2,00E-06	SCO3006	liquid culture
-0,1658	0,422534	SCO5373	liquid culture
-1,0648	2,60E-05	SCO2324	liquid culture
-1,0349	3,90E-05	SCO3123	liquid culture
-0,0126	0,965358	SCO0254	liquid culture
-0,9239	1,00E-06	SCO5055	liquid culture
0,5409	0,034144	SCO7494	liquid culture
-0,1752	0,354554	SCO7022	liquid culture
-0,5163	0,00559	SCO4653	liquid culture
-1,6784	2,00E-06	SCO2223	liquid culture
-0,2454	0,248871	SCO0596	liquid culture
-0,2504	0,237948	SCO4042	liquid culture
0,0801	0,844269	SCO7707	liquid culture
-1,7348	1,00E-06	SCO1923	liquid culture
-0,2176	0,177726	SCO2121	liquid culture
-0,7033	1,70E-05	SCO7311	liquid culture
-2,0855	0	SCO1941	liquid culture
-0,5912	0,002332	SCO0139	liquid culture
-0,1992	0,252557	SCO5787	liquid culture
0,8015	1,20E-05	SCO5793	liquid culture
-0,3047	0,109153	SCO1279	liquid culture
-0,3088	0,047472	SCO6657	liquid culture
-1,0881	1,00E-06	SCO1152	liquid culture
0,4921	0,008458	SCO4690	liquid culture
-1,0506	0	SCO2386	liquid culture
-0,2483	0,179898	SCO7038	liquid culture
-0,0908	0,688835	SCO6501	liquid culture
-1,4739	0	SCO4470	liquid culture
-1,4536	0	SCO5129	liquid culture
0,6702	0,00043	SCO2533	liquid culture
-1,1326	0	SCO0840	liquid culture
0,0845	0,717267	SCO6751	liquid culture
-0,7514	9,20E-05	SCO6257	liquid culture
2,6617	0	SCO1623	liquid culture
0,6763	8,70E-05	SCO1942	liquid culture
-0,195	0,38589	SCO7012	liquid culture
-0,2754	0,087264	SCO5842	liquid culture
-0,7529	0,000762	SCO5068	liquid culture
-2,0299	0	SCO4541	liquid culture
0,9153	0,159968	SCO7242	liquid culture
0,602	0,00469	SCO0793	liquid culture
-0,7459	0,000302	SCO7772	liquid culture
0,365	0,080491	SCO7780	liquid culture
-0,9347	0,000577	SCO0187	liquid culture
-1,4482	2,00E-06	SCO6094	liquid culture
-1,3208	2,00E-06	SCO4465	liquid culture
-0,0823	0,718604	SCO2872	liquid culture
-8,00E-04	0,997381	SCO7767	liquid culture
-0,8351	0,01878	SCO7083	liquid culture
-3,1298	0	SCO3262	liquid culture
0,7724	0,002611	SCO7763	liquid culture
1,5394	0	SCO0999	liquid culture
0,1689	0,411452	SCO7799	liquid culture
0,3573	0,018048	SCO1213	liquid culture
0,1518	0,461466	SCO5849	liquid culture
-0,1628	0,421737	SCO0695	liquid culture
-0,7197	0,000516	SCO3408	liquid culture
-0,9854	3,00E-06	SCO7179	liquid culture
1,0252	0,002181	SCO3066	liquid culture
0,1258	0,557716	SCO2798	liquid culture
-0,0754	0,747204	SCO7156	liquid culture
1,0672	1,00E-06	SCO4284	liquid culture
1,8949	0	SCO2195	liquid culture
-1,3478	1,00E-06	SCO4952	liquid culture
-1,6475	0	SCO0741	liquid culture
-0,5827	0,001126	SCO0818	liquid culture
-0,9407	1,00E-06	SCO0262	liquid culture
-1,1945	0	SCO5131	liquid culture
0,5175	0,056235	SCO6889	liquid culture
-0,095	0,67858	SCO2320	liquid culture
-1,1491	0	SCO2539	liquid culture
1,586	1,00E-06	SCO4875	liquid culture
1,1469	0,000444	SCO0201	liquid culture
-0,3094	0,037788	SCO4643	liquid culture
0,0895	0,698587	SCO3326	liquid culture
-0,2777	0,095798	SCO3638	liquid culture
0,1053	0,649286	SCO0250	liquid culture
-1,0371	1,20E-05	SCO4154	liquid culture
0,4928	0,002176	SCO7222	liquid culture
-0,8642	7,00E-06	SCO2132	liquid culture
0,0931	0,702323	SCO6294	liquid culture
-0,7561	6,00E-06	SCO4067	liquid culture
-0,2059	0,220574	SCO1424	liquid culture
1,5942	0	SCO2725	liquid culture
-0,4046	0,058192	SCO3523	liquid culture
-0,4181	0,028911	SCO4125	liquid culture
-0,2222	0,232218	SCO2853	liquid culture
-0,7941	0,000224	SCO0343	liquid culture
-0,2728	0,147288	SCO3132	liquid culture
-0,786	4,10E-05	SCO1850	liquid culture
-0,3737	0,146635	SCO5380	liquid culture
-0,2668	0,251607	SCO4344	liquid culture
0,3586	0,154081	SCO5412	liquid culture
-2,1182	3,00E-06	SCO1866	liquid culture
-0,5955	0,08662	SCO2797	liquid culture
0,0978	0,683488	SCO2228	liquid culture
0,6246	0,000334	SCO7033	liquid culture
-1,8441	0	SCO2148	liquid culture
-0,3645	0,049494	SCO7139	liquid culture
-0,3025	0,112889	SCO7274	liquid culture
1,3023	0	SCO5042	liquid culture
-1,0842	1,30E-05	SCO6923	liquid culture
-0,0637	0,824933	SCO1274	liquid culture
-1,0951	5,00E-06	SCO3126	liquid culture
-0,8152	0,001018	SCO0089	liquid culture
-1,093	0	SCO3665	liquid culture
-0,3427	0,085179	SCO4730	liquid culture
-0,3396	0,138423	SCO7747	liquid culture
-0,4716	0,012323	SCO3875	liquid culture
-0,8824	4,00E-06	SCO7216	liquid culture
-0,1315	0,538061	SCO4000	liquid culture
-0,0094	0,968263	SCO5603	liquid culture
-1,8919	0	SCO2015	liquid culture
0,3177	0,111367	SCO2475	liquid culture
-0,4798	0,005301	SCO3534	liquid culture
-1,631	1,00E-06	SCO4549	liquid culture
-0,5763	0,000806	SCO3160	liquid culture
-1,142	0	SCO4829	liquid culture
-1	0,000835	SCO5000	liquid culture
-1,0658	0	SCO3628	liquid culture
0,1316	0,531268	SCO2182	liquid culture
-0,4934	0,010447	SCO1315	liquid culture
-0,145	0,48302	SCO7032	liquid culture
-0,8296	9,20E-05	SCO0232	liquid culture
-0,3117	0,063114	SCO3865	liquid culture
-0,0507	0,844974	SCO7778	liquid culture
-1,3955	0	SCO1500	liquid culture
1,1966	0,000129	SCO3559	liquid culture
0,3756	0,083032	SCO3158	liquid culture
-0,4824	0,010036	SCO3267	liquid culture
-1,3763	3,90E-05	SCO6833	liquid culture
-1,6259	5,00E-06	SCO5369	liquid culture
-0,453	0,011599	SCO7284	liquid culture
-0,566	0,001034	SCO3511	liquid culture
-1,056	8,00E-06	SCO2974	liquid culture
-0,5407	0,00819	SCO3832	liquid culture
0,0179	0,95496	SCO1231	liquid culture
-0,6063	0,000949	SCO7124	liquid culture
-0,859	1,00E-06	SCO1930	liquid culture
3,0794	0	SCO6197	liquid culture
-1,3038	1,00E-06	SCO4990	liquid culture
-0,0715	0,79303	SCO6845	liquid culture
-0,0946	0,675569	SCO2039	liquid culture
-0,7159	0,004301	SCO4216	liquid culture
-0,4908	0,003729	SCO5744	liquid culture
2,3756	0	SCO6941	liquid culture
-0,9929	2,00E-06	SCO3049	liquid culture
-1,1942	1,00E-06	SCO3312	liquid culture
-0,1315	0,584388	SCO1521	liquid culture
-0,3303	0,02413	SCO5659	liquid culture
0,4874	0,06187	SCO7262	liquid culture
-1,7481	0	SCO0118	liquid culture
-0,7149	2,40E-05	SCO2076	liquid culture
0,3254	0,052649	SCO2110	liquid culture
-0,8882	1,00E-06	SCO0734	liquid culture
-0,4395	0,00255	SCO4170	liquid culture
-0,412	0,045363	SCO2645	liquid culture
-0,3436	0,077941	SCO2180	liquid culture
-1,2826	0	SCO3899	liquid culture
-0,6198	0,000192	SCO3181	liquid culture
1,8724	1,10E-05	SCO6290	liquid culture
0,3536	0,020065	SCO5665	liquid culture
0,0798	0,74941	SCO1245	liquid culture
-0,0554	0,832352	SCO0794	liquid culture
-0,2895	0,072337	SCO7438	liquid culture
-1,3319	0	SCO2389	liquid culture
-1,0457	1,00E-06	SCO2388	liquid culture
0,2828	0,116601	SCO7347	liquid culture
-1,0273	1,00E-06	SCO1973	liquid culture
0,3628	0,061083	SCO3888	liquid culture
1,9786	0	SCO7585	liquid culture
0,7866	0,000944	SCO5024	liquid culture
0,5669	0,005219	SCO1296	liquid culture
0,3537	0,180633	SCO3968	liquid culture
-1,0726	2,00E-06	SCO3972	liquid culture
0,0299	0,907702	SCO1472	liquid culture
-1,1147	1,00E-06	SCO7018	liquid culture
-1,0813	4,00E-06	SCO3737	liquid culture
-0,6817	0,00154	SCO1151	liquid culture
-0,405	0,042835	SCO7039	liquid culture
-0,2456	0,114329	SCO6990	liquid culture
1,0965	1,70E-05	SCO3215	liquid culture
-1,2912	2,10E-05	SCO5738	liquid culture
-0,0898	0,70145	SCO7056	liquid culture
0,5747	0,00132	SCO4597	liquid culture
-0,823	9,00E-06	SCO4651	liquid culture
-1,6046	0	SCO3138	liquid culture
1,2498	2,30E-05	SCO0781	liquid culture
-0,7062	7,50E-05	SCO4482	liquid culture
-3,1352	0	SCO0104	liquid culture
0,9041	0,000967	SCO3762	liquid culture
1,368	1,40E-05	SCO4618	liquid culture
-0,3515	0,01933	SCO1752	liquid culture
-0,9618	2,00E-06	SCO3915	liquid culture
0,3312	0,018218	SCO2939	liquid culture
0,3433	0,149489	SCO2899	liquid culture
0,9387	3,80E-05	SCO7305	liquid culture
0,961	0,00035	SCO3595	liquid culture
-1,4265	0	SCO4341	liquid culture
-0,4931	0,000509	SCO4824	liquid culture
-0,3248	0,045827	SCO0925	liquid culture
-1,8394	0	SCO4605	liquid culture
1,6174	0	SCO4229	liquid culture
0,3255	0,049968	SCO1496	liquid culture
0,9944	0,000588	SCO3004	liquid culture
0,0543	0,815833	SCO3437	liquid culture
0,3242	0,161718	SCO2146	liquid culture
-1,4676	1,00E-06	SCO3885	liquid culture
-1,1423	2,10E-05	SCO5740	liquid culture
0,6155	0,002098	SCO6217	liquid culture
0,7088	0,0023	SCO4338	liquid culture
-1,3408	0	SCO0623	liquid culture
-1,5417	0	SCO2789	liquid culture
0,2193	0,358449	SCO2059	liquid culture
-0,9286	0,000197	SCO3986	liquid culture
0,0494	0,865277	SCO5165	liquid culture
-0,3405	0,115486	SCO5371	liquid culture
0,456	0,009686	SCO4778	liquid culture
-1,063	0	SCO2972	liquid culture
-1,0806	0	SCO0688	liquid culture
-1,3588	9,00E-06	SCO4036	liquid culture
0,0183	0,94398	SCO4305	liquid culture
0,1978	0,400195	SCO6612	liquid culture
-0,5581	0,000458	SCO3104	liquid culture
-0,8777	0	SCO2088	liquid culture
-1,3443	0,00112	SCO6404	liquid culture
1,0345	7,00E-06	SCO4948	liquid culture
-1,1233	1,70E-05	SCO4046	liquid culture
1,6776	0,001019	SCO7810	liquid culture
-1,4589	0	SCO3546	liquid culture
0,8963	0,007477	SCO0424	liquid culture
1,6364	0	SCO5102	liquid culture
0,0799	0,752586	SCO1391	liquid culture
-0,64	0,006782	SCO0128	liquid culture
1,5353	1,00E-06	SCO6216	liquid culture
-0,2627	0,088189	SCO2587	liquid culture
-1,2294	0	SCO1582	liquid culture
0,7865	0,00019	SCO1145	liquid culture
0,579	0,008523	SCO5515	liquid culture
-0,077	0,743249	SCO2181	liquid culture
-0,3538	0,037403	SCO1057	liquid culture
-0,4575	0,071014	SCO0149	liquid culture
0,5766	0,009682	SCO4283	liquid culture
1,6461	0	SCO3243	liquid culture
-0,4395	0,0034	SCO2115	liquid culture
0,1557	0,433338	SCO1861	liquid culture
-0,9201	0,000225	SCO2652	liquid culture
-1,1943	9,00E-06	SCO5498	liquid culture
-0,6167	0,000301	SCO0874	liquid culture
-0,621	6,70E-05	SCO3250	liquid culture
0,7371	0,003259	SCO7186	liquid culture
0,8734	1,60E-05	SCO3568	liquid culture
-0,6463	0,000652	SCO1477	liquid culture
-0,5657	0,000259	SCO4065	liquid culture
0,7217	0,000468	SCO1738	liquid culture
-0,0999	0,68714	SCO0849	liquid culture
0,0819	0,722485	SCO5703	liquid culture
-0,5376	0,010651	SCO4731	liquid culture
-0,1804	0,33648	SCO5291	liquid culture
-1,1623	1,50E-05	SCO5981	liquid culture
2,2296	0	SCO1997	liquid culture
-0,2256	0,222162	SCO4855	liquid culture
-1,1132	1,00E-06	SCO3928	liquid culture
0,0378	0,872661	SCO6504	liquid culture
-0,3541	0,012041	SCO3345	liquid culture
-0,6055	0,001242	SCO6486	liquid culture
-0,5608	0,001196	SCO2876	liquid culture
-1,1468	0	SCO4293	liquid culture
-0,4564	0,018179	SCO4466	liquid culture
0,7004	0,005797	SCO6811	liquid culture
-0,0338	0,885753	SCO7382	liquid culture
0,156	0,484079	SCO6434	liquid culture
0,0154	0,94808	SCO2331	liquid culture
-0,8565	0	SCO4508	liquid culture
-0,7455	0,002554	SCO4966	liquid culture
-1,0793	1,00E-06	SCO2843	liquid culture
1,4921	1,20E-05	SCO2477	liquid culture
-1,0954	4,00E-06	SCO0095	liquid culture
-0,4854	0,001261	SCO5741	liquid culture
-0,9643	2,70E-05	SCO7441	liquid culture
0,1765	0,368972	SCO3653	liquid culture
3,2819	0	SCO5163	liquid culture
0,0905	0,847143	SCO3527	liquid culture
0,4271	0,018075	SCO7634	liquid culture
0,3254	0,071133	SCO0461	liquid culture
-1,6031	0	SCO2640	liquid culture
0,6544	0,008979	SCO0179	liquid culture
0,3444	0,086865	SCO1813	liquid culture
0,0733	0,762502	SCO7325	liquid culture
-0,1721	0,38092	SCO7582	liquid culture
-0,3038	0,137187	SCO7686	liquid culture
-0,4429	0,008321	SCO7520	liquid culture
4,2732	0,000163	SCO6281	liquid culture
-1,0354	0,004021	SCO6836	liquid culture
-0,7936	0,001578	SCO0283	liquid culture
-0,328	0,136759	SCO5002	liquid culture
-0,7495	3,00E-05	SCO0130	liquid culture
-0,3597	0,016455	SCO5312	liquid culture
-1,6472	0	SCO1560	liquid culture
-2,4066	0	SCO0902	liquid culture
-0,1047	0,678313	SCO4480	liquid culture
-0,8316	0,000486	SCO5937	liquid culture
0,2966	0,04678	SCO4369	liquid culture
-0,4349	0,012381	SCO5098	liquid culture
-0,6107	0,013707	SCO0151	liquid culture
0,3421	0,015016	SCO4957	liquid culture
-0,5456	0,003189	SCO7120	liquid culture
0,0434	0,859502	SCO5322	liquid culture
-1,2527	0	SCO3673	liquid culture
0,3072	0,026359	SCO2532	liquid culture
-1,2249	6,00E-06	SCO7199	liquid culture
1,1162	1,00E-06	SCO5532	liquid culture
-0,7101	2,30E-05	SCO6450	liquid culture
0,8882	8,80E-05	SCO6500	liquid culture
-1,3588	1,00E-06	SCO4269	liquid culture
-0,6149	0,00319	SCO0998	liquid culture
-0,2443	0,149159	SCO1952	liquid culture
-0,911	5,00E-06	SCO3914	liquid culture
-0,6408	0,000546	SCO0044	liquid culture
-0,7722	0,01281	SCO6592	liquid culture
-0,2502	0,188149	SCO4071	liquid culture
1,119	0	SCO4802	liquid culture
0,0062	0,981045	SCO7208	liquid culture
-0,9457	1,50E-05	SCO3576	liquid culture
-1,0433	4,30E-05	SCO6340	liquid culture
-0,8699	9,30E-05	SCO0241	liquid culture
0,232	0,392795	SCO4166	liquid culture
-0,2102	0,471585	SCO4484	liquid culture
-0,951	6,70E-05	SCO4944	liquid culture
0,7847	4,00E-06	SCO1959	liquid culture
-1,2804	1,50E-05	SCO6453	liquid culture
1,5737	0	SCO5405	liquid culture
-0,2054	0,306865	SCO6599	liquid culture
-0,5292	0,003153	SCO2901	liquid culture
-1,2234	0	SCO4989	liquid culture
-1,2512	6,80E-05	SCO6591	liquid culture
0,3858	0,050693	SCO4407	liquid culture
-0,2412	0,17629	SCO4171	liquid culture
-0,2099	0,303377	SCO4306	liquid culture
-0,2506	0,302279	SCO2229	liquid culture
0,5065	0,034547	SCO1490	liquid culture
0,3752	0,051947	SCO4633	liquid culture
-0,2528	0,119003	SCO7057	liquid culture
-0,4636	0,031594	SCO6847	liquid culture
-0,8758	0,00091	SCO5776	liquid culture
-0,7073	1,80E-05	SCO3920	liquid culture
2,069	0	SCO0463	liquid culture
0,1445	0,508439	SCO4073	liquid culture
-0,933	3,80E-05	SCO3774	liquid culture
-0,6685	0,00278	SCO3297	liquid culture
-0,1581	0,432334	SCO7362	liquid culture
0,557	0,002763	SCO0496	liquid culture
0,3512	0,025799	SCO5542	liquid culture
-0,3504	0,097411	SCO3983	liquid culture
-1,1932	0	SCO0506	liquid culture
-1,0453	9,50E-05	SCO0289	liquid culture
-1,5037	0,000148	SCO0097	liquid culture
-1,7767	0	SCO4607	liquid culture
1,1607	1,10E-05	SCO0403	liquid culture
-0,064	0,782403	SCO4782	liquid culture
0,3128	0,109496	SCO1544	liquid culture
0,3556	0,095562	SCO7024	liquid culture
-0,4684	0,011485	SCO1562	liquid culture
0,2319	0,35964	SCO0459	liquid culture
-0,4279	0,028329	SCO3313	liquid culture
-1,007	0	SCO4828	liquid culture
-0,5473	0,001738	SCO3153	liquid culture
-1,2201	0	SCO1524	liquid culture
-2,2777	0	SCO3922	liquid culture
0,0889	0,699859	SCO5483	liquid culture
-0,6247	0,000328	SCO2857	liquid culture
0,2163	0,335897	SCO7169	liquid culture
-1,6071	0	SCO1508	liquid culture
2,0911	0	SCO3247	liquid culture
-0,7798	9,00E-06	SCO2262	liquid culture
0,1309	0,534711	SCO3162	liquid culture
0,6152	6,80E-05	SCO4719	liquid culture
-0,9599	1,00E-06	SCO6757	liquid culture
0,0644	0,797625	SCO5752	liquid culture
0,1029	0,650644	SCO4263	liquid culture
-1,2571	1,60E-05	SCO6876	liquid culture
-0,5318	0,015078	SCO3699	liquid culture
0,3509	0,114521	SCO5517	liquid culture
-0,694	0,001881	SCO7814	liquid culture
-0,2281	0,227549	SCO6556	liquid culture
-0,4689	0,004792	SCO1233	liquid culture
0,2535	0,10512	SCO5662	liquid culture
-0,4675	0,004428	SCO0647	liquid culture
0,982	0,004235	SCO6510	liquid culture
-0,6368	0,000261	SCO5666	liquid culture
0,25	0,235473	SCO7202	liquid culture
-0,2682	0,233668	SCO2565	liquid culture
-0,266	0,15413	SCO6607	liquid culture
-1,0243	1,10E-05	SCO0802	liquid culture
-1,1219	0	SCO5867	liquid culture
-0,1715	0,361596	SCO3306	liquid culture
-1,455	0	SCO6024	liquid culture
0,3482	0,122776	SCO3135	liquid culture
-0,836	1,60E-05	SCO1687	liquid culture
-0,1714	0,482186	SCO6574	liquid culture
0,1126	0,61653	SCO1135	liquid culture
-0,0431	0,854823	SCO3344	liquid culture
-1,0285	0,002108	SCO7288	liquid culture
-0,1249	0,634612	SCO7027	liquid culture
2,0253	8,00E-06	SCO0994	liquid culture
0,0306	0,897041	SCO7300	liquid culture
-1,4615	0	SCO3361	liquid culture
-1,2818	3,00E-06	SCO5559	liquid culture
0,6451	0,00489	SCO2172	liquid culture
-0,6224	0,000404	SCO7173	liquid culture
-0,663	0,00012	SCO5492	liquid culture
-1,5272	0	SCO5743	liquid culture
1,2689	0	SCO2975	liquid culture
0,3163	0,034559	SCO3213	liquid culture
-0,3874	0,012557	SCO5056	liquid culture
-0,6633	0,008052	SCO1792	liquid culture
0,0191	0,937342	SCO0759	liquid culture
1,0157	0	SCO3342	liquid culture
4,7658	1,60E-05	SCO6280	liquid culture
-0,3105	0,11904	SCO4430	liquid culture
-0,864	4,40E-05	SCO3259	liquid culture
-2,7357	0	SCO0439	liquid culture
-1,8537	0	SCO3363	liquid culture
0,0938	0,677832	SCO4721	liquid culture
-1,3411	0,00058	SCO6737	liquid culture
-0,1607	0,435147	SCO7683	liquid culture
0,0848	0,734933	SCO4415	liquid culture
-0,9839	0	SCO3116	liquid culture
-1,147	0,002062	SCO5679	liquid culture
-0,7309	0,000386	SCO0272	liquid culture
1,1056	2,00E-06	SCO3810	liquid culture
0,4915	0,00948	SCO0205	liquid culture
-0,8574	3,30E-05	SCO5135	liquid culture
-0,9332	2,00E-06	SCO4683	liquid culture
-0,6853	0,000106	SCO0622	liquid culture
-0,1773	0,430395	SCO1876	liquid culture
-0,9958	0,000574	SCO1393	liquid culture
-0,1544	0,454233	SCO2535	liquid culture
-1,2985	0	SCO4180	liquid culture
-1,1332	1,00E-06	SCO0116	liquid culture
-1,2675	0	SCO3122	liquid culture
-1,6474	0	SCO2151	liquid culture
-0,3259	0,10651	SCO3509	liquid culture
0,1054	0,669041	SCO1280	liquid culture
-0,2371	0,332442	SCO0030	liquid culture
-0,7523	1,50E-05	SCO5048	liquid culture
-0,8451	0,010335	SCO1592	liquid culture
-0,1319	0,546023	SCO3581	liquid culture
-0,1985	0,36786	SCO3524	liquid culture
0,3172	0,302471	SCO0779	liquid culture
-0,797	2,00E-06	SCO3098	liquid culture
-0,0504	0,837574	SCO2722	liquid culture
0,5342	0,004423	SCO2373	liquid culture
0,1596	0,45562	SCO2850	liquid culture
-0,5083	0,001333	SCO5058	liquid culture
-0,2333	0,186415	SCO1921	liquid culture
-2,0273	0	SCO4531	liquid culture
-0,9192	5,00E-06	SCO3084	liquid culture
-1,0766	1,60E-05	SCO4604	liquid culture
0,3184	0,144425	SCO2694	liquid culture
-0,1417	0,525523	SCO7110	liquid culture
-0,3194	0,033537	SCO5735	liquid culture
-0,9248	3,00E-06	SCO5136	liquid culture
-0,265	0,090727	SCO1939	liquid culture
-1,5224	0	SCO2322	liquid culture
-1,4894	0	SCO4494	liquid culture
0,0065	0,978596	SCO2875	liquid culture
0,5886	0,040682	SCO6480	liquid culture
0,2163	0,357673	SCO4081	liquid culture
-1,1125	0	SCO4469	liquid culture
-0,0376	0,892619	SCO6538	liquid culture
-0,2637	0,14955	SCO2347	liquid culture
1,312	0	SCO6008	liquid culture
0,3461	0,091929	SCO2806	liquid culture
-0,7677	6,10E-05	SCO1481	liquid culture
-1,1657	0	SCO4550	liquid culture
-0,2017	0,268834	SCO0776	liquid culture
-0,9019	0,000107	SCO5739	liquid culture
-0,3159	0,067433	SCO3600	liquid culture
0,8587	0,005215	SCO2683	liquid culture
-0,8203	2,50E-05	SCO4720	liquid culture
-0,5509	0,089979	SCO4372	liquid culture
0,4998	0,037872	SCO7684	liquid culture
0,4405	0,003183	SCO5426	liquid culture
-0,0446	0,862257	SCO2808	liquid culture
2,0837	0	SCO1731	liquid culture
-0,7508	1,70E-05	SCO5451	liquid culture
-0,7946	5,00E-06	SCO4429	liquid culture
0,2154	0,220189	SCO5127	liquid culture
0,3355	0,393107	SCO3956	liquid culture
0,1743	0,399551	SCO6482	liquid culture
-0,9601	4,60E-05	SCO7165	liquid culture
0,8802	5,10E-05	SCO4224	liquid culture
-0,7206	0,000275	SCO1940	liquid culture
-0,6885	0,028869	SCO2224	liquid culture
-0,346	0,046026	SCO5704	liquid culture
0,5432	0,00871	SCO0460	liquid culture
-0,1058	0,641603	SCO5648	liquid culture
-0,1211	0,575582	SCO1311	liquid culture
-0,7316	2,80E-05	SCO4326	liquid culture
-1,3296	0	SCO6645	liquid culture
-1,8949	0	SCO0080	liquid culture
-0,8684	2,40E-05	SCO7126	liquid culture
1,0259	1,00E-06	SCO1714	liquid culture
0,4465	0,002469	SCO6805	liquid culture
-1,1708	0,000242	SCO6317	liquid culture
0,3736	0,017276	SCO7358	liquid culture
-0,4491	0,001448	SCO3823	liquid culture
-1,0621	1,00E-06	SCO4652	liquid culture
-1,9994	0	SCO5039	liquid culture
-1,9597	0	SCO1486	liquid culture
-0,4166	0,023004	SCO7691	liquid culture
0,9455	0	SCO4981	liquid culture
1,3911	0	SCO4070	liquid culture
0,8062	0,005932	SCO5374	liquid culture
-0,1138	0,605313	SCO4143	liquid culture
0,9597	0,000119	SCO4587	liquid culture
-1,243	0	SCO5212	liquid culture
-0,4068	0,006845	SCO5501	liquid culture
0,0597	0,823058	SCO5493	liquid culture
0,1192	0,589282	SCO1246	liquid culture
-0,0413	0,881123	SCO1167	liquid culture
0,5135	0,023613	SCO1390	liquid culture
-0,8964	4,00E-06	SCO4049	liquid culture
0,6758	0,000141	SCO3194	liquid culture
0,3896	0,106172	SCO7397	liquid culture
-0,5761	0,002476	SCO2873	liquid culture
-0,0897	0,709232	SCO2534	liquid culture
0,1795	0,410385	SCO2442	liquid culture
-1,4917	1,30E-05	SCO1520	liquid culture
0,6933	0,002786	SCO3097	liquid culture
0,0782	0,733513	SCO5379	liquid culture
2,1006	1,00E-06	SCO4949	liquid culture
-1,4112	0,000147	SCO5134	liquid culture
1,2143	5,00E-06	SCO3233	liquid culture
-0,0253	0,922982	SCO4615	liquid culture
-1,0983	2,00E-06	SCO2140	liquid culture
-0,8076	3,40E-05	SCO1519	liquid culture
0,2071	0,321655	SCO3283	liquid culture
-1,7891	0	SCO4231	liquid culture
0,5178	0,032658	SCO6301	liquid culture
1,012	0,000278	SCO7694	liquid culture
0,1977	0,33778	SCO7287	liquid culture
-0,2748	0,512066	SCO3957	liquid culture
-1,025	0	SCO4082	liquid culture
1,3495	0	SCO1022	liquid culture
-1,5766	5,00E-06	SCO4210	liquid culture
-1,092	1,00E-06	SCO2959	liquid culture
-0,5613	0,001793	SCO0429	liquid culture
-0,14	0,524778	SCO1787	liquid culture
-1,4331	0	SCO2547	liquid culture
-0,5256	0,000871	SCO1826	liquid culture
-0,596	0,032619	SCO3143	liquid culture
0,9751	0,000186	SCO5255	liquid culture
-0,2644	0,207004	SCO3521	liquid culture
1,4974	2,00E-06	SCO0210	liquid culture
-0,4155	0,018576	SCO2996	liquid culture
-0,7694	6,00E-06	SCO2615	liquid culture
-0,5669	0,000142	SCO4016	liquid culture
-1,1427	1,00E-06	SCO4473	liquid culture
-1,3606	0	SCO2044	liquid culture
1,7942	0	SCO6126	liquid culture
-2,3694	0	SCO2682	liquid culture
-2,4391	0	SCO1776	liquid culture
-1,4593	0	SCO1811	liquid culture
0,2642	0,212193	SCO3558	liquid culture
0,2708	0,290548	SCO5133	liquid culture
0,0359	0,892474	SCO1953	liquid culture
0,7748	0,000642	SCO4268	liquid culture
-0,9696	1,00E-06	SCO4432	liquid culture
-0,4444	0,037006	SCO2986	liquid culture
-0,1773	0,38716	SCO1002	liquid culture
-0,3822	0,042618	SCO6511	liquid culture
-0,1868	0,319217	SCO1820	liquid culture
-0,7777	0,001659	SCO2164	liquid culture
-0,1514	0,503138	SCO1847	liquid culture
-0,6195	0,000206	SCO3388	liquid culture
0,9715	0,000446	SCO3544	liquid culture
-0,8475	1,60E-05	SCO3855	liquid culture
-1,4826	0	SCO6020	liquid culture
0,3413	0,031983	SCO7522	liquid culture
-1,9296	0	SCO1840	liquid culture
-0,0053	0,983213	SCO5725	liquid culture
-0,9747	1,00E-06	SCO3522	liquid culture
-0,088	0,698599	SCO1902	liquid culture
-0,691	0,00109	SCO1345	liquid culture
-0,8542	0,000152	SCO7801	liquid culture
-0,691	3,80E-05	SCO6087	liquid culture
-1,0406	2,00E-06	SCO2232	liquid culture
0,1675	0,409624	SCO1985	liquid culture
-1,6224	0	SCO4628	liquid culture
-0,4745	0,017848	SCO1120	liquid culture
