"gene","logFC","FDR","add_variable","start","end","width","strand","data_name"
"predicted RNA",2.25550073314839,1.25e-17,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.65771884315647,2.13e-17,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.64104604812917,4.4e-17,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.98272200856816,6.23e-17,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.84799690655495,1.61e-16,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.48542682717024,6.26e-16,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.49050674453459,6.6e-16,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.81340396673041,9.71e-16,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.96437609026928,1.12e-15,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.39635293601392,1.72e-15,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.89947312404604,2.6e-15,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.85798099512757,3.73e-15,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.06140054466414,5.23e-15,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.05183893151962,7.65e-15,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.35278905859212,9.37e-15,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.5401082649369,1.26e-14,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.0439433475876,1.44e-14,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.38332863955151,2.3e-14,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.50955509806313,3.18e-14,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.86507041991389,6.54e-14,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.71822903158462,6.81e-14,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.65942899369519,1.18e-13,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.63420601974101,1.37e-13,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.47883414985981,1.81e-13,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.70571466018177,2.14e-13,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.35049724708413,5.35e-13,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.72348236480258,7.22e-13,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.98138432183265,9.91e-13,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.97774719315287,1.33e-12,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.0071955014042,2.46e-12,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.33652547110032,2.51e-12,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.18670071419314,9.57e-12,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.18670071419314,9.57e-12,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.97085365434048,1.34e-11,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.54377081340105,3.54e-11,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.37233304832461,3.63e-11,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.23067903252141,3.76e-11,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.30211961380718,1.01e-10,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.07856905237411,2e-10,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.83324645518963,2.84e-10,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.18679882000671,2.95e-10,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.6724253419715,3.35e-10,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.97759358695172,3.44e-10,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.84289903891527,4.1e-10,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.93753591305335,4.12e-10,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.85244281158614,1.43e-09,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.81052220113629,1.79e-09,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.43530989430511,2e-09,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.18670071419314,2.2e-09,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.40306485761277,5.06e-09,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.79836613883035,5.58e-09,"PS04M145",NA,NA,NA,NA,"szafran2019"
